x,z,data
   50.0000000     ,   54.9749985     ,   2.93541513E-02
   150.000000     ,   54.9749985     ,   2.56951898E-02
   250.000000     ,   54.9749985     ,   8.82456154E-02
   350.000000     ,   54.9749985     ,   1.63376536E-02
   450.000000     ,   54.9749985     ,   4.20961119E-02
   550.000000     ,   54.9749985     ,   5.04182242E-02
   650.000000     ,   54.9749985     ,   7.61937723E-02
   750.000000     ,   54.9749985     ,   7.36193955E-02
   850.000000     ,   54.9749985     ,   4.05930765E-02
   950.000000     ,   54.9749985     ,   4.96257134E-02
   1050.00000     ,   54.9749985     ,   5.63212633E-02
   1150.00000     ,   54.9749985     ,   4.67315502E-02
   1250.00000     ,   54.9749985     ,   1.36274323E-02
   1350.00000     ,   54.9749985     ,   2.63643023E-02
   1450.00000     ,   54.9749985     ,   7.46652205E-03
   1550.00000     ,   54.9749985     ,   6.98790103E-02
   1650.00000     ,   54.9749985     ,   2.80891489E-02
   1750.00000     ,   54.9749985     ,   8.23158398E-02
   1850.00000     ,   54.9749985     ,   1.24043729E-02
   1950.00000     ,   54.9749985     ,   1.34055782E-03
   2050.00000     ,   54.9749985     ,   0.00000000    
   2150.00000     ,   54.9749985     ,   1.92930158E-02
   2250.00000     ,   54.9749985     ,   0.00000000    
   2350.00000     ,   54.9749985     ,   1.80200711E-02
   2450.00000     ,   54.9749985     ,   1.48356715E-02
   2550.00000     ,   54.9749985     ,   3.20290551E-02
   2650.00000     ,   54.9749985     ,   3.61594073E-02
   2750.00000     ,   54.9749985     ,   1.91016234E-02
   2850.00000     ,   54.9749985     ,   8.45282748E-02
   2950.00000     ,   54.9749985     ,   1.61178503E-02
   3050.00000     ,   54.9749985     ,   6.88794628E-02
   3150.00000     ,   54.9749985     ,   1.07072818E-03
   3250.00000     ,   54.9749985     ,  0.102961488    
   3350.00000     ,   54.9749985     ,   5.12905084E-02
   3450.00000     ,   54.9749985     ,  0.128257081    
   3550.00000     ,   54.9749985     ,   6.97366074E-02
   3650.00000     ,   54.9749985     ,   3.22603919E-02
   3750.00000     ,   54.9749985     ,   8.04471895E-02
   3850.00000     ,   54.9749985     ,   8.35560858E-02
   3950.00000     ,   54.9749985     ,   5.77538051E-02
   4050.00000     ,   54.9749985     ,   9.82256886E-03
   4150.00000     ,   54.9749985     ,   1.90325007E-02
   4250.00000     ,   54.9749985     ,   6.91946223E-02
   4350.00000     ,   54.9749985     ,   1.42635647E-02
   4450.00000     ,   54.9749985     ,   6.83504120E-02
   4550.00000     ,   54.9749985     ,   4.17449027E-02
   4650.00000     ,   54.9749985     ,  0.115647390    
   4750.00000     ,   54.9749985     ,  0.139935091    
   4850.00000     ,   54.9749985     ,  0.122174993    
   4950.00000     ,   54.9749985     ,   9.92738530E-02
   5050.00000     ,   54.9749985     ,   3.39225866E-02
   5150.00000     ,   54.9749985     ,   2.00043414E-02
   5250.00000     ,   54.9749985     ,   0.00000000    
   5350.00000     ,   54.9749985     ,   1.31484140E-02
   5450.00000     ,   54.9749985     ,   3.68909985E-02
   5550.00000     ,   54.9749985     ,   4.32486534E-02
   5650.00000     ,   54.9749985     ,   5.84004372E-02
   5750.00000     ,   54.9749985     ,   3.04958932E-02
   5850.00000     ,   54.9749985     ,   3.55563909E-02
   5950.00000     ,   54.9749985     ,   9.28931907E-02
   6050.00000     ,   54.9749985     ,   3.80509943E-02
   6150.00000     ,   54.9749985     ,  0.116186291    
   6250.00000     ,   54.9749985     ,   2.34073866E-02
   6350.00000     ,   54.9749985     ,   6.98419735E-02
   6450.00000     ,   54.9749985     ,   6.56654546E-03
   6550.00000     ,   54.9749985     ,   8.27176496E-02
