x,data
0,-3.9348805
100,-3.31838679
200,-2.67135096
300,-1.99156451
400,-1.27925587
500,-0.533029974
600,0.248763815
700,1.06659269
800,1.92121804
900,2.81551862
1000,3.74762726
1100,4.72159672
1200,5.73599386
1300,6.79292488
1400,7.89481163
1500,9.03980064
1600,10.2304392
1700,11.4668312
1800,12.7514191
1900,14.0839624
2000,15.4649353
2100,16.8966103
2200,18.3783245
2300,19.9111843
2400,21.4974098
2500,23.1361446
2600,24.8288021
2700,26.5768719
2800,28.3796177
2900,30.2379589
3000,32.1536407
3100,34.1243744
3200,36.1517372
3300,38.2342262
3400,40.3713455
3500,42.5605545
3600,44.8005142
3700,47.0859833
3800,49.4139404
3900,51.7805138
4000,54.1778183
4100,56.5995636
4200,59.0379295
4300,61.4834518
4400,63.928524
4500,66.3590851
4600,68.7690582
4700,71.1436234
4800,73.4742203
4900,75.750061
5000,77.9603806
5100,80.0952988
5200,82.147995
5300,84.1092377
5400,85.9725418
5500,87.7335663
5600,89.3848648
5700,90.9261627
5800,92.3506012
5900,93.65979
6000,94.8493118
6100,95.9183731
6200,96.8653259
6300,97.6889191
6400,98.388855
6500,98.962471
6600,99.4086838
6700,99.7263718
6800,99.9146881
6900,99.9700241
7000,99.8935776
7100,99.6828003
7200,99.3376617
7300,98.8582535
7400,98.245285
7500,97.5000916
7600,96.625946
7700,95.623085
7800,94.4972839
7900,93.2492599
8000,91.8836594
8100,90.4060974
8200,88.8167877
8300,87.119751
8400,85.3185654
8500,83.4142075
8600,81.4093628
8700,79.3079453
8800,77.110611
8900,74.8246689
9000,72.4550552
9100,70.0079041
9200,67.4940796
9300,64.9240341
9400,62.310173
9500,59.6651497
9600,57.006485
9700,54.3463707
9800,51.7007523
9900,49.0819092
10000,46.5047073
10100,43.9800148
10200,41.5155182
10300,39.1210403
10400,36.7998924
10500,34.5602379
10600,32.4017487
10700,30.3276157
10800,28.3370152
10900,26.4286156
11000,24.6037941
11100,22.8579903
11200,21.1893845
11300,19.5953121
11400,18.0729351
11500,16.6193924
11600,15.2314959
11700,13.9064217
11800,12.6410322
11900,11.4324484
12000,10.2775259
