x,y,data
50,54.9749985,7.68E-03
150,54.9749985,1.44E-02
250,54.9749985,2.10E-02
350,54.9749985,1.21E-02
450,54.9749985,2.59E-02
550,54.9749985,2.69E-02
650,54.9749985,2.93E-02
750,54.9749985,2.39E-02
850,54.9749985,2.90E-02
950,54.9749985,2.26E-02
1050,54.9749985,1.31E-02
1150,54.9749985,1.07E-02
1250,54.9749985,1.01E-02
1350,54.9749985,5.45E-03
1450,54.9749985,1.02E-02
1550,54.9749985,8.52E-03
1650,54.9749985,6.63E-03
1750,54.9749985,6.77E-03
1850,54.9749985,7.23E-03
1950,54.9749985,8.27E-03
2050,54.9749985,1.49E-02
2150,54.9749985,2.17E-02
2250,54.9749985,1.62E-02
2350,54.9749985,2.47E-02
2450,54.9749985,1.95E-02
2550,54.9749985,1.71E-02
2650,54.9749985,1.77E-02
2750,54.9749985,1.71E-02
2850,54.9749985,1.28E-02
2950,54.9749985,1.93E-02
3050,54.9749985,1.41E-02
3150,54.9749985,1.27E-02
3250,54.9749985,1.22E-02
3350,54.9749985,1.08E-02
3450,54.9749985,1.71E-02
3550,54.9749985,1.25E-02
3650,54.9749985,9.07E-03
3750,54.9749985,1.05E-02
3850,54.9749985,9.78E-03
3950,54.9749985,7.29E-03
4050,54.9749985,1.62E-02
4150,54.9749985,2.20E-02
4250,54.9749985,2.23E-02
4350,54.9749985,2.00E-02
4450,54.9749985,1.82E-02
4550,54.9749985,1.26E-02
4650,54.9749985,8.51E-03
4750,54.9749985,1.29E-02
4850,54.9749985,1.49E-02
4950,54.9749985,2.11E-02
5050,54.9749985,2.45E-02
5150,54.9749985,1.64E-02
5250,54.9749985,2.28E-02
5350,54.9749985,1.97E-02
5450,54.9749985,1.87E-02
5550,54.9749985,3.22E-02
5650,54.9749985,2.21E-02
5750,54.9749985,3.48E-02
5850,54.9749985,2.51E-02
5950,54.9749985,1.30E-02
6050,54.9749985,8.68E-03
6150,54.9749985,1.02E-02
6250,54.9749985,1.16E-02
6350,54.9749985,1.67E-02
6450,54.9749985,1.91E-02
6550,54.9749985,2.13E-02
6650,54.9749985,2.61E-02
6750,54.9749985,2.75E-02
