x,y,data
0,0,24.234663
100,0,26.481472
200,0,24.6621933
300,0,22.9350758
400,0,22.1325245
500,0,22.2879086
600,0,23.2898331
700,0,25.2011757
800,0,28.2180538
900,0,32.932148
1000,0,41.1192245
1100,0,63.1883736
1200,0,89.7101593
1300,0,104.896996
1400,0,114.995094
1500,0,122.73024
1600,0,126.254715
1700,0,117.297272
1800,0,104.688713
1900,0,103.181557
2000,0,118.310753
2100,0,137.537094
2200,0,147.201218
2300,0,153.657455
2400,0,157.761398
2500,0,162.030777
2600,0,145.809021
2700,0,119.950287
2800,0,108.394638
2900,0,100.109024
3000,0,93.3907013
3100,0,87.7124863
3200,0,82.8562164
3300,0,78.7475433
3400,0,75.352951
3500,0,72.7750702
3600,0,71.2692108
3700,0,71.3898926
3800,0,74.615036
3900,0,89.5702362
4000,0,108.779259
4100,0,121.145149
4200,0,131.088882
4300,0,138.434814
4400,0,141.187759
4500,0,130.751602
4600,0,114.876122
4700,0,104.674629
4800,0,95.1372833
4900,0,85.4938583
5000,0,76.2603073
5100,0,67.7827454
5200,0,60.1081848
5300,0,53.2391167
5400,0,47.1608658
5500,0,41.8583488
5600,0,37.2597771
5700,0,33.2999878
5800,0,29.888525
5900,0,26.949667
6000,0,24.3944263
0,100,29.2006645
100,100,32.0625534
200,100,28.2584209
300,100,25.0578213
400,100,23.4422112
500,100,23.1855965
600,100,24.0699787
700,100,26.019577
800,100,29.3574905
900,100,34.8506165
1000,100,45.3890152
1100,100,80.904686
1200,100,123.309731
1300,100,143.280228
1400,100,154.675186
1500,100,163.378693
1600,100,166.132309
1700,100,146.895676
1800,100,122.040428
1900,100,117.938225
2000,100,143.597092
2100,100,175.440536
2200,100,188.792679
2300,100,197.096054
2400,100,202.385712
2500,100,210.401367
2600,100,181.700378
2700,100,136.555359
2800,100,119.675087
2900,100,108.586281
3000,100,100.034309
3100,100,93.0614777
3200,100,87.2700348
3300,100,82.4577713
3400,100,78.5695419
3500,100,75.6653595
3600,100,74.0743713
3700,100,74.5381851
3800,100,79.4496078
3900,100,105.214828
4000,100,137.383484
4100,100,155.333618
4200,100,168.880508
4300,100,178.555344
4400,100,181.533142
4500,100,161.566833
4600,100,133.739288
4700,100,118.775261
4800,100,106.089943
4900,100,93.8192444
5000,100,82.5216827
5100,100,72.5143585
5200,100,63.6832199
5300,100,55.9153671
5400,100,49.1672134
5500,100,43.3533058
5600,100,38.4007912
5700,100,34.1614456
5800,100,30.5491142
5900,100,27.4608021
6000,100,24.7922726
0,200,31.3533669
100,200,34.5170288
200,200,30.1150246
300,200,26.2391968
400,200,24.1808414
500,200,23.6852283
600,200,24.4891682
700,200,26.4796047
800,200,29.9614697
900,200,35.9006424
1000,200,47.520462
1100,200,85.4834595
1200,200,131.232422
1300,200,153.886688
1400,200,166.868134
1500,200,176.290543
1600,200,178.838821
1700,200,158.034576
1800,200,130.91716
1900,200,125.818352
2000,200,152.890625
2100,200,187.165497
2200,200,202.242462
2300,200,211.563721
2400,200,217.371628
2500,200,225.202744
2600,200,194.086655
2700,200,145.332977
2800,200,125.969749
2900,200,113.319077
3000,200,103.723755
3100,200,96.0025101
3200,200,89.6736298
3300,200,84.4704132
3400,200,80.2866211
3500,200,77.208313
3600,200,75.5761337
3700,200,76.2310333
3800,200,81.8879166
3900,200,109.550674
4000,200,144.402039
4100,200,164.782715
4200,200,180.213058
4300,200,191.187958
4400,200,194.484528
4500,200,173.385925
4600,200,143.445908
4700,200,126.524872
4800,200,112.19957
4900,200,98.5022583
5000,200,86.040535
5100,200,75.1394196
5200,200,65.6434937
5300,200,57.3813095
5400,200,50.2492218
5500,200,44.1604385
5600,200,39.002018
5700,200,34.61343
5800,200,30.8980312
5900,200,27.7206001
6000,200,25.0062656
0,300,31.3535309
100,300,34.5153275
200,300,30.1127338
300,300,26.2419758
400,300,24.1654396
500,300,23.7011948
600,300,24.4833794
700,300,26.4797535
800,300,29.9640274
900,300,35.8997726
1000,300,47.5164337
1100,300,85.4949417
1200,300,131.220917
1300,300,153.889786
1400,300,166.866226
1500,300,176.297791
1600,300,178.841904
1700,300,158.030457
1800,300,130.924927
1900,300,125.819237
2000,300,152.887421
2100,300,187.163208
2200,300,202.246033
2300,300,211.563736
2400,300,217.368591
2500,300,225.202103
2600,300,194.094986
2700,300,145.328156
2800,300,125.970398
2900,300,113.321533
3000,300,103.72554
3100,300,96.0030746
3200,300,89.6719742
3300,300,84.468689
3400,300,80.2894211
3500,300,77.2115555
3600,300,75.5747223
3700,300,76.2277603
3800,300,81.8932495
3900,300,109.550697
4000,300,144.403488
4100,300,164.780624
4200,300,180.215134
4300,300,191.185852
4400,300,194.489807
4500,300,173.383926
4600,300,143.445892
4700,300,126.526535
4800,300,112.20314
4900,300,98.4985199
5000,300,86.0433044
5100,300,75.1490097
5200,300,65.640976
5300,300,57.3751335
5400,300,50.2493515
5500,300,44.1663017
5600,300,38.9940987
5700,300,34.6163406
5800,300,30.8948174
5900,300,27.7204952
6000,300,25.0096092
0,400,29.1934853
100,400,32.0732384
200,400,28.2618046
300,400,25.0570259
400,400,23.4551163
500,400,23.1859627
600,400,24.0660648
700,400,26.0277214
800,400,29.3518658
900,400,34.8537254
1000,400,45.3856277
1100,400,80.9087219
1200,400,123.310875
1300,400,143.277878
1400,400,154.668015
1500,400,163.389648
1600,400,166.132492
1700,400,146.898438
1800,400,122.041222
1900,400,117.935921
2000,400,143.60112
2100,400,175.442505
2200,400,188.787354
2300,400,197.101044
2400,400,202.385086
2500,400,210.403519
2600,400,181.701828
2700,400,136.554489
2800,400,119.67466
2900,400,108.586624
3000,400,100.032211
3100,400,93.0625153
3200,400,87.2700729
3300,400,82.4612198
3400,400,78.5664291
3500,400,75.6684265
3600,400,74.0728455
3700,400,74.5379944
3800,400,79.4494781
3900,400,105.214806
4000,400,137.384201
4100,400,155.334656
4200,400,168.885544
4300,400,178.556534
4400,400,181.532425
4500,400,161.567688
4600,400,133.739594
4700,400,118.775444
4800,400,106.082947
4900,400,93.8233643
5000,400,82.5242081
5100,400,72.5149994
5200,400,63.6831665
5300,400,55.9157257
5400,400,49.1682053
5500,400,43.3464012
5600,400,38.4074745
5700,400,34.1631546
5800,400,30.5449295
5900,400,27.4597092
6000,400,24.7968121
0,500,24.2223473
100,500,26.4900188
200,500,24.6691437
300,500,22.9303837
400,500,22.1450157
500,500,22.2802563
600,500,23.2982121
700,500,25.19907
800,500,28.2175083
900,500,32.9436989
1000,500,41.1185265
1100,500,63.1792679
1200,500,89.7120361
1300,500,104.893997
1400,500,114.991814
1500,500,122.733101
1600,500,126.258942
1700,500,117.298164
1800,500,104.688057
1900,500,103.180489
2000,500,118.314056
2100,500,137.533188
2200,500,147.204926
2300,500,153.660248
2400,500,157.762863
2500,500,162.0271
2600,500,145.811844
2700,500,119.94413
2800,500,108.399773
2900,500,100.111237
3000,500,93.3931961
3100,500,87.7105408
3200,500,82.8578644
3300,500,78.7443466
3400,500,75.3501205
3500,500,72.7739487
3600,500,71.2722321
3700,500,71.3839722
3800,500,74.6198196
3900,500,89.5698929
4000,500,108.777512
4100,500,121.14856
4200,500,131.089233
4300,500,138.437973
4400,500,141.189819
4500,500,130.748871
4600,500,114.872513
4700,500,104.679832
4800,500,95.1396484
4900,500,85.4901657
5000,500,76.2657623
5100,500,67.7850647
5200,500,60.1140747
5300,500,53.2345772
5400,500,47.1582069
5500,500,41.858326
5600,500,37.2590714
5700,500,33.3064766
5800,500,29.8887348
5900,500,26.9427738
6000,500,24.4095898
