x,y,data
0,0,77.6902084
100,0,95.6208954
200,0,36.2141113
300,0,5.6647315
400,0,-9.86104012
500,0,-19.0451736
600,0,-26.9652843
700,0,-36.6029396
800,0,-51.2043953
900,0,-77.0690689
1000,0,-130.402481
1100,0,51.5634079
1200,0,320.860687
1300,0,327.064636
1400,0,290.409882
1500,0,315.390411
1600,0,359.475922
1700,0,236.129639
1800,0,44.5554619
1900,0,-22.2048054
2000,0,133.376587
2100,0,319.162048
2200,0,331.91098
2300,0,347.453888
2400,0,364.945312
2500,0,589.968201
2600,0,447.282043
2700,0,97.8256073
2800,0,105.584206
2900,0,101.836266
3000,0,93.625267
3100,0,83.6085739
3200,0,73.0447845
3300,0,61.7690849
3400,0,49.2431374
3500,0,34.7813339
3600,0,16.9103947
3700,0,-8.25071621
3800,0,-51.7964516
3900,0,59.6387367
4000,0,222.204926
4100,0,263.308411
4200,0,309.823883
4300,0,367.869568
4400,0,435.957367
4500,0,343.564301
4600,0,203.012878
4700,0,191.238693
4800,0,173.866791
4900,0,141.505524
5000,0,111.370178
5100,0,86.9492416
5200,0,66.3824234
5300,0,48.9310646
5400,0,34.846981
5500,0,24.02882
5600,0,16.041954
5700,0,10.2618189
5800,0,6.12326527
5900,0,3.27298164
6000,0,1.27893412
0,100,149.80159
100,100,179.29454
200,100,68.9948502
300,100,17.5155563
400,100,-6.1348033
500,100,-18.5121822
600,100,-28.1869373
700,100,-39.6674995
800,100,-57.6514015
900,100,-91.8912811
1000,100,-170.448792
1100,100,230.483414
1200,100,784.452759
1300,100,778.264221
1400,100,679.773193
1500,100,706.956543
1600,100,769.502747
1700,100,497.807587
1800,100,109.758301
1900,100,-7.50881672
2000,100,319.896698
2100,100,697.247864
2200,100,718.038635
2300,100,739.586304
2400,100,761.205078
2500,100,1189.12939
2600,100,872.194397
2700,100,145.579071
2800,100,146.698685
2900,100,134.518478
3000,100,119.040955
3100,100,103.219376
3200,100,88.264946
3300,100,73.5065918
3400,100,57.920578
3500,100,40.3377724
3600,100,18.492588
3700,100,-13.8285265
3800,100,-75.9786835
3900,100,178.112015
4000,100,521.666443
4100,100,599.181396
4200,100,671.893616
4300,100,757.021118
4400,100,855.863464
4500,100,628.148438
4600,100,314.579651
4700,100,277.401459
4800,100,243.104202
4900,100,189.91069
5000,100,144.260086
5100,100,109.866066
5200,100,82.1983871
5300,100,59.5847511
5400,100,41.83535
5500,100,28.5229416
5600,100,18.870079
5700,100,12.0216742
5800,100,7.24472094
5900,100,3.96244478
6000,100,1.72539163
0,200,165.545105
100,200,199.823944
200,200,81.6940002
300,200,23.3222752
400,200,-4.0400877
500,200,-18.1407394
600,200,-28.8271236
700,200,-41.3730469
800,200,-61.3040962
900,200,-100.098137
1000,200,-189.733902
1100,200,192.359329
1200,200,742.105835
1300,200,753.280151
1400,200,669.460388
1500,200,704.581604
1600,200,776.754089
1700,200,516.814209
1800,200,128.330383
1900,200,-1.84824514
2000,200,315.89856
2100,200,691.052795
2200,200,714.654907
2300,200,739.141418
2400,200,763.063171
2500,200,1196.36267
2600,200,889.183167
2700,200,168.922028
2800,200,169.091187
2900,200,153.119507
3000,200,133.688904
3100,200,114.522339
3200,200,96.9859238
3300,200,80.183403
3400,200,62.8113136
3500,200,43.4335518
3600,200,19.3049202
3700,200,-16.9554844
3800,200,-87.5123672
3900,200,152.266113
4000,200,489.182526
4100,200,572.916992
4200,200,656.667236
4300,200,755.16925
4400,200,868.847351
4500,200,659.647766
4600,200,357.086945
4700,200,319.381195
4800,200,279.293213
4900,200,216.81102
5000,200,163.189713
5100,200,123.149139
5200,200,91.3786926
5300,200,65.731308
5400,200,45.8272057
5500,200,31.0668011
5600,200,20.4674301
5700,200,13.0195704
5800,200,7.86425447
5900,200,4.34578705
6000,200,1.96841514
0,300,165.545288
100,300,199.824142
200,300,81.6945267
300,300,23.3218193
400,300,-4.04061508
500,300,-18.1410561
600,300,-28.8265476
700,300,-41.3730316
800,300,-61.304306
900,300,-100.098137
1000,300,-189.734711
1100,300,192.360703
1200,300,742.103516
1300,300,753.278137
1400,300,669.460144
1500,300,704.581055
1600,300,776.755005
1700,300,516.81366
1800,300,128.329193
1900,300,-1.84784305
2000,300,315.897949
2100,300,691.05304
2200,300,714.654602
2300,300,739.140137
2400,300,763.062378
2500,300,1196.3645
2600,300,889.182129
2700,300,168.921646
2800,300,169.090881
2900,300,153.119736
3000,300,133.689194
3100,300,114.52137
3200,300,96.9854126
3300,300,80.1824493
3400,300,62.8127213
3500,300,43.4329262
3600,300,19.305233
3700,300,-16.9561272
3800,300,-87.5117645
3900,300,152.267822
4000,300,489.181335
4100,300,572.916199
4200,300,656.667725
4300,300,755.167297
4400,300,868.849854
4500,300,659.64563
4600,300,357.086914
4700,300,319.38089
4800,300,279.29483
4900,300,216.808746
5000,300,163.189056
5100,300,123.151199
5200,300,91.3802948
5300,300,65.7290802
5400,300,45.8299179
5500,300,31.0659962
5600,300,20.4670925
5700,300,13.0177135
5800,300,7.86636257
5900,300,4.34630251
6000,300,1.96512628
0,400,149.800873
100,400,179.294846
200,400,68.9942856
300,400,17.5164471
400,400,-6.13595247
500,400,-18.5121613
