x,y,z,data
50,50,54.9375,0.202086821
150,50,54.9375,0.15504545
250,50,54.9375,8.24E-02
350,50,54.9375,2.24E-02
450,50,54.9375,0
550,50,54.9375,0
650,50,54.9375,0
750,50,54.9375,0
850,50,54.9375,0
950,50,54.9375,0
1050,50,54.9375,9.06E-03
1150,50,54.9375,0.278512299
1250,50,54.9375,0.518019855
1350,50,54.9375,0.629075646
1450,50,54.9375,0.653956354
1550,50,54.9375,0.600335419
1650,50,54.9375,0.415108413
1750,50,54.9375,0.131972924
1850,50,54.9375,0
1950,50,54.9375,0
2050,50,54.9375,0.211435005
2150,50,54.9375,0.431482822
2250,50,54.9375,0.567649126
2350,50,54.9375,0.655768812
2450,50,54.9375,0.718285263
2550,50,54.9375,0.625166893
2650,50,54.9375,0.346827686
2750,50,54.9375,0.108442068
2850,50,54.9375,2.38E-02
2950,50,54.9375,1.69E-02
3050,50,54.9375,3.37E-02
3150,50,54.9375,4.65E-02
3250,50,54.9375,4.50E-02
3350,50,54.9375,2.89E-02
3450,50,54.9375,5.10E-03
3550,50,54.9375,0
3650,50,54.9375,0
3750,50,54.9375,0
3850,50,54.9375,0
3950,50,54.9375,0.198193938
4050,50,54.9375,0.402230233
4150,50,54.9375,0.53993094
4250,50,54.9375,0.627793789
4350,50,54.9375,0.656428516
4450,50,54.9375,0.56897372
4550,50,54.9375,0.370188653
4650,50,54.9375,0.20584558
4750,50,54.9375,0.118442371
4850,50,54.9375,7.92E-02
4950,50,54.9375,5.47E-02
5050,50,54.9375,3.86E-02
5150,50,54.9375,3.04E-02
5250,50,54.9375,2.18E-02
5350,50,54.9375,1.58E-02
5450,50,54.9375,1.04E-02
5550,50,54.9375,6.15E-03
5650,50,54.9375,3.32E-03
5750,50,54.9375,1.96E-03
5850,50,54.9375,1.71E-03
5950,50,54.9375,2.02E-03
50,150,54.9375,0.223426506
150,150,54.9375,0.168984815
250,150,54.9375,9.01E-02
350,150,54.9375,2.49E-02
450,150,54.9375,0
550,150,54.9375,0
650,150,54.9375,0
750,150,54.9375,0
850,150,54.9375,0
950,150,54.9375,0
1050,150,54.9375,2.60E-02
1150,150,54.9375,0.334277421
1250,150,54.9375,0.60344696
1350,150,54.9375,0.72053349
1450,150,54.9375,0.742526472
1550,150,54.9375,0.689500391
1650,150,54.9375,0.493749648
1750,150,54.9375,0.169414088
1850,150,54.9375,0
1950,150,54.9375,9.22E-03
2050,150,54.9375,0.271801382
2150,150,54.9375,0.512798786
2250,150,54.9375,0.640694559
2350,150,54.9375,0.744223773
2450,150,54.9375,0.803752363
2550,150,54.9375,0.697990716
2650,150,54.9375,0.380885184
2750,150,54.9375,0.111224875
2850,150,54.9375,2.24E-02
2950,150,54.9375,2.09E-02
3050,150,54.9375,4.11E-02
3150,150,54.9375,5.54E-02
3250,150,54.9375,5.34E-02
3350,150,54.9375,3.54E-02
3450,150,54.9375,8.61E-03
3550,150,54.9375,0
3650,150,54.9375,0
3750,150,54.9375,0
3850,150,54.9375,8.76E-03
3950,150,54.9375,0.235163182
4050,150,54.9375,0.462574154
4150,150,54.9375,0.598305225
4250,150,54.9375,0.696813107
4350,150,54.9375,0.719982386
4450,150,54.9375,0.615979314
4550,150,54.9375,0.396762639
4650,150,54.9375,0.207455069
4750,150,54.9375,0.119987831
4850,150,54.9375,7.55E-02
4950,150,54.9375,5.59E-02
5050,150,54.9375,4.38E-02
5150,150,54.9375,2.96E-02
5250,150,54.9375,2.43E-02
