x,y,z,data
50,50,54.9375,0.272411615
150,50,54.9375,7.77E-02
250,50,54.9375,2.03E-02
350,50,54.9375,3.87E-02
450,50,54.9375,4.86E-02
550,50,54.9375,6.19E-02
650,50,54.9375,7.25E-02
750,50,54.9375,9.03E-02
850,50,54.9375,7.45E-02
950,50,54.9375,0
1050,50,54.9375,0
1150,50,54.9375,0.843362451
1250,50,54.9375,1.11338007
1350,50,54.9375,0.705291986
1450,50,54.9375,0.609428346
1550,50,54.9375,0.792193949
1650,50,54.9375,0.81568706
1750,50,54.9375,0.281373769
1850,50,54.9375,0
1950,50,54.9375,2.65E-02
2050,50,54.9375,0.689629972
2150,50,54.9375,0.743433416
2250,50,54.9375,0.633222401
2350,50,54.9375,0.407375723
2450,50,54.9375,0.849942803
2550,50,54.9375,1.42668843
2650,50,54.9375,0.197127655
2750,50,54.9375,0
2850,50,54.9375,0.154725879
2950,50,54.9375,0.117525414
3050,50,54.9375,8.86E-02
3150,50,54.9375,7.21E-02
3250,50,54.9375,6.76E-02
3350,50,54.9375,6.92E-02
3450,50,54.9375,7.69E-02
3550,50,54.9375,9.13E-02
3650,50,54.9375,0.10188444
3750,50,54.9375,0
3850,50,54.9375,0
3950,50,54.9375,0.563106477
4050,50,54.9375,0.727309346
4150,50,54.9375,0.632284284
4250,50,54.9375,0.620761871
4350,50,54.9375,0.746124446
4450,50,54.9375,0.71120894
4550,50,54.9375,0.176834434
4650,50,54.9375,1.22E-02
4750,50,54.9375,0.113719188
4850,50,54.9375,6.14E-02
4950,50,54.9375,4.24E-02
5050,50,54.9375,3.52E-02
5150,50,54.9375,3.36E-02
5250,50,54.9375,2.80E-02
5350,50,54.9375,2.29E-02
5450,50,54.9375,2.04E-02
5550,50,54.9375,1.89E-02
5650,50,54.9375,1.80E-02
5750,50,54.9375,1.91E-02
5850,50,54.9375,1.28E-02
5950,50,54.9375,3.12E-02
50,150,54.9375,0.253954381
150,150,54.9375,4.54E-02
250,150,54.9375,0
350,150,54.9375,1.17E-02
450,150,54.9375,1.66E-02
550,150,54.9375,2.73E-02
650,150,54.9375,3.71E-02
750,150,54.9375,5.89E-02
850,150,54.9375,4.50E-02
950,150,54.9375,0
1050,150,54.9375,0
1150,150,54.9375,0.914818406
1250,150,54.9375,1.21615386
1350,150,54.9375,0.757910848
1450,150,54.9375,0.658524632
1550,150,54.9375,0.838549912
1650,150,54.9375,0.866769135
1750,150,54.9375,0.284375459
1850,150,54.9375,0
1950,150,54.9375,2.01E-02
2050,150,54.9375,0.773341179
2150,150,54.9375,0.818692446
2250,150,54.9375,0.738575161
2350,150,54.9375,0.484713584
2450,150,54.9375,0.949381351
2550,150,54.9375,1.62185585
2650,150,54.9375,0.197156206
2750,150,54.9375,0
2850,150,54.9375,0.145095229
2950,150,54.9375,7.74E-02
3050,150,54.9375,3.83E-02
3150,150,54.9375,1.65E-02
3250,150,54.9375,1.00E-02
3350,150,54.9375,1.22E-02
3450,150,54.9375,2.26E-02
3550,150,54.9375,4.49E-02
3650,150,54.9375,6.59E-02
3750,150,54.9375,0
3850,150,54.9375,0
3950,150,54.9375,0.603901505
4050,150,54.9375,0.790135801
4150,150,54.9375,0.69082582
4250,150,54.9375,0.68080461
4350,150,54.9375,0.807243168
4450,150,54.9375,0.778142035
4550,150,54.9375,0.18355988
4650,150,54.9375,8.38E-03
4750,150,54.9375,0.115033209
4850,150,54.9375,4.40E-02
4950,150,54.9375,2.75E-02
5050,150,54.9375,2.06E-02
5150,150,54.9375,2.05E-02
5250,150,54.9375,1.55E-02
5350,150,54.9375,1.17E-02
5450,150,54.9375,9.90E-03
5550,150,54.9375,9.55E-03
5650,150,54.9375,8.43E-03
5750,150,54.9375,1.02E-02
5850,150,54.9375,1.34E-03
5950,150,54.9375,1.57E-02
50,250,54.9375,0.269769102
150,250,54.9375,6.53E-02
250,250,54.9375,9.60E-03
350,250,54.9375,2.91E-02
450,250,54.9375,3.72E-02
550,250,54.9375,5.03E-02
