x,data
0,424.578827
100,438.340057
200,452.183807
300,466.294891
400,480.537537
500,494.730042
600,508.868805
700,522.861816
800,536.500977
900,549.629089
1000,562.298889
1100,574.33728
1200,585.590759
1300,596.150269
1400,605.825989
1500,614.567871
1600,622.436523
1700,629.415283
1800,635.409973
1900,640.435242
2000,644.637756
2100,647.950012
2200,650.394226
2300,652.156555
2400,653.08844
2500,653.435425
2600,653.162659
2700,652.393616
2800,651.10144
2900,649.429321
3000,647.358215
3100,645.059631
3200,642.445984
3300,639.596497
3400,636.624634
3500,633.471741
3600,630.251404
3700,626.924988
3800,623.526611
3900,620.10144
4000,616.643127
4100,613.198608
4200,609.714844
4300,606.252014
4400,602.815796
4500,599.402466
4600,595.994568
4700,592.621155
4800,589.287048
4900,585.952087
5000,582.662659
5100,579.420898
5200,576.181213
5300,572.963928
5400,569.774475
5500,566.610901
5600,563.476807
5700,560.351196
5800,557.206665
5900,554.109863
6000,551.004272
6100,547.919434
6200,544.849365
6300,541.721191
6400,538.662231
6500,535.549561
6600,532.46637
6700,529.334167
6800,526.234009
6900,523.105408
7000,519.965942
7100,516.793945
7200,513.624329
7300,510.42627
7400,507.194824
7500,503.986145
7600,500.705658
7700,497.41571
7800,494.146362
7900,490.792999
8000,487.444916
8100,484.046661
8200,480.640961
8300,477.222076
8400,473.727875
8500,470.261444
8600,466.750641
8700,463.217468
8800,459.627258
8900,456.060455
9000,452.45697
9100,448.777985
9200,445.13974
9300,441.467194
9400,437.721466
9500,434.053986
9600,430.290375
9700,426.510254
9800,422.719055
9900,418.948822
10000,415.136261
10100,411.304688
10200,407.495483
10300,403.662811
10400,399.786194
10500,395.920013
10600,392.03775
10700,388.18869
10800,384.296997
10900,380.44278
11000,376.527954
11100,372.675079
11200,368.778625
11300,364.904572
11400,361.020935
11500,357.163391
11600,353.319702
11700,349.444855
11800,345.582794
11900,341.776764
12000,338.01825
12100,334.152771
12200,330.344757
12300,326.57547
12400,322.800751
12500,319.111481
12600,315.282318
12700,311.661987
12800,307.945435
12900,304.249176
13000,300.605927
13100,296.924713
13200,293.351227
13300,289.742981
13400,286.175537
13500,282.620514
13600,279.078491
13700,275.602936
13800,272.071381
13900,268.618225
14000,265.183167
14100,261.740997
14200,258.285614
14300,254.923096
14400,251.535721
14500,248.184082
14600,244.808929
14700,241.403229
14800,238.029297
14900,234.635147
15000,231.127518
