x,data
0,19.4959526
100,33.4344711
200,45.7333298
300,59.0600967
400,73.268692
500,88.0900879
600,103.185501
700,118.198517
800,132.798065
900,146.703384
1000,159.700195
1100,171.625473
1200,182.351929
1300,191.774124
1400,199.802429
1500,206.364365
1600,211.412567
1700,214.932693
1800,216.949554
1900,217.522415
2000,216.749878
2100,214.75325
2200,211.674347
2300,207.668045
2400,202.888672
2500,197.489151
2600,191.613495
2700,185.399246
2800,178.966644
2900,172.423569
3000,165.867371
3100,159.377975
3200,153.021301
3300,146.854843
3400,140.917389
3500,135.241745
3600,129.8508
3700,124.757004
3800,119.964035
3900,115.475708
4000,111.284317
4100,107.381264
4200,103.755646
4300,100.395081
4400,97.2826157
4500,94.4031982
4600,91.7427292
4700,89.2828598
4800,87.0103683
4900,84.908432
5000,82.9634857
5100,81.1625671
5200,79.4924927
5300,77.9411774
5400,76.4979401
5500,75.152565
5600,73.8950577
5700,72.7168121
5800,71.6114731
5900,70.5675964
6000,69.5804062
6100,68.6433029
6200,67.7497864
6300,66.8952637
6400,66.0727844
6500,65.2776642
6600,64.5064926
6700,63.7548294
6800,63.0174561
6900,62.2914886
7000,61.5744667
7100,60.8625717
7200,60.1537857
7300,59.4444199
7400,58.7339668
7500,58.0169449
7600,57.2962646
7700,56.5679703
7800,55.8304405
7900,55.0840759
8000,54.3255234
8100,53.5561371
8200,52.7744331
8300,51.981102
8400,51.1739807
8500,50.3529625
8600,49.5206528
8700,48.6738052
8800,47.8148155
8900,46.9432983
9000,46.0594788
9100,45.163475
9200,44.2568932
9300,43.3378792
9400,42.410511
9500,41.4730759
9600,40.5271454
9700,39.5735283
9800,38.6126709
9900,37.646286
10000,36.6737022
10100,35.6963921
10200,34.7169228
10300,33.7344513
10400,32.7505951
10500,31.7650242
10600,30.7814217
10700,29.7987976
10800,28.8177147
10900,27.840538
11000,26.8676434
11100,25.8988724
11200,24.9369431
11300,23.980587
11400,23.0327015
11500,22.0931129
11600,21.162487
11700,20.2417145
11800,19.3311596
11900,18.4320183
12000,17.5442581
12100,16.6704216
12200,15.807663
12300,14.9593868
12400,14.1250648
12500,13.3041878
12600,12.4991674
12700,11.7095089
12800,10.9342403
12900,10.1753826
13000,9.43193817
13100,8.70525265
13200,7.99439049
13300,7.30059719
13400,6.62346363
13500,5.96233177
13600,5.31814575
13700,4.69140244
13800,4.07983398
13900,3.48635244
14000,2.9084909
14100,2.34789181
14200,1.80253744
14300,1.27305901
14400,0.758861542
14500,0.258477807
14600,-0.228338122
14700,-0.706179738
14800,-1.18514645
14900,-1.71446526
15000,-5.0719347
