x,y,data
   0.00000000     ,   0.00000000     ,   24.5142231    
   100.000000     ,   0.00000000     ,   27.8408737    
   200.000000     ,   0.00000000     ,   31.8436050    
   300.000000     ,   0.00000000     ,   36.9427948    
   400.000000     ,   0.00000000     ,   43.8750496    
   500.000000     ,   0.00000000     ,   54.7531242    
   600.000000     ,   0.00000000     ,   84.0672989    
   700.000000     ,   0.00000000     ,   99.7597351    
   800.000000     ,   0.00000000     ,   93.7374039    
   900.000000     ,   0.00000000     ,   95.6662521    
   1000.00000     ,   0.00000000     ,   98.2371521    
   1100.00000     ,   0.00000000     ,   101.240143    
   1200.00000     ,   0.00000000     ,   104.517410    
   1300.00000     ,   0.00000000     ,   107.745560    
   1400.00000     ,   0.00000000     ,   110.420891    
   1500.00000     ,   0.00000000     ,   112.108910    
   1600.00000     ,   0.00000000     ,   112.495728    
   1700.00000     ,   0.00000000     ,   111.541061    
   1800.00000     ,   0.00000000     ,   109.424721    
   1900.00000     ,   0.00000000     ,   106.441154    
   2000.00000     ,   0.00000000     ,   102.893913    
   2100.00000     ,   0.00000000     ,   99.0340652    
   2200.00000     ,   0.00000000     ,   95.0090714    
   2300.00000     ,   0.00000000     ,   90.9238586    
   2400.00000     ,   0.00000000     ,   86.8159943    
   2500.00000     ,   0.00000000     ,   82.7469101    
   2600.00000     ,   0.00000000     ,   78.7368546    
   2700.00000     ,   0.00000000     ,   74.8389816    
   2800.00000     ,   0.00000000     ,   71.0740738    
   2900.00000     ,   0.00000000     ,   67.4697189    
   3000.00000     ,   0.00000000     ,   64.0488205    
   3100.00000     ,   0.00000000     ,   60.8105965    
   3200.00000     ,   0.00000000     ,   57.7822990    
   3300.00000     ,   0.00000000     ,   54.9373627    
   3400.00000     ,   0.00000000     ,   52.2790604    
   3500.00000     ,   0.00000000     ,   49.8022346    
   3600.00000     ,   0.00000000     ,   47.4892464    
   3700.00000     ,   0.00000000     ,   45.3395233    
   3800.00000     ,   0.00000000     ,   43.3187790    
   3900.00000     ,   0.00000000     ,   41.4328346    
   4000.00000     ,   0.00000000     ,   39.6724510    
   4100.00000     ,   0.00000000     ,   38.0089111    
   4200.00000     ,   0.00000000     ,   36.4443970    
   4300.00000     ,   0.00000000     ,   34.9752693    
   4400.00000     ,   0.00000000     ,   33.5853081    
   4500.00000     ,   0.00000000     ,   32.2491074    
   4600.00000     ,   0.00000000     ,   30.9971066    
   4700.00000     ,   0.00000000     ,   29.7936344    
   4800.00000     ,   0.00000000     ,   28.6279030    
   4900.00000     ,   0.00000000     ,   27.5384789    
   5000.00000     ,   0.00000000     ,   26.4754734    
