x,data
0,256.099823
100,262.739471
200,268.711914
300,274.344574
400,279.881287
500,285.285034
600,290.634216
700,295.984131
800,301.269989
900,306.586975
1000,311.902069
1100,317.30719
1200,322.645447
1300,328.056671
1400,333.533112
1500,339.000458
1600,344.56366
1700,350.228027
1800,355.877441
1900,361.63739
2000,367.45517
2100,373.355377
2200,379.350525
2300,385.395905
2400,391.562866
2500,397.799957
2600,404.123962
2700,410.56543
2800,417.086456
2900,423.713318
3000,430.427917
3100,437.258789
3200,444.216156
3300,451.224609
3400,458.412262
3500,465.645569
3600,473.036743
3700,480.521484
3800,488.122772
3900,495.846497
4000,503.635223
4100,511.584564
4200,519.59491
4300,527.738892
4400,535.936646
4500,544.225098
4600,552.621826
4700,561.042297
4800,569.559021
4900,578.090698
5000,586.644348
5100,595.241455
5200,603.791565
5300,612.34491
5400,620.841125
5500,629.253784
5600,637.577454
5700,645.771423
5800,653.778381
5900,661.61731
6000,669.229126
6100,676.604065
6200,683.714539
6300,690.528809
6400,697.016357
6500,703.146362
6600,708.884888
6700,714.193909
6800,719.026062
6900,723.362244
7000,727.119019
7100,730.290161
7200,732.830994
7300,734.65625
7400,735.765808
7500,736.093262
7600,735.62384
7700,734.305176
7800,732.103455
7900,729.013794
8000,725.04364
8100,720.146423
8200,714.398926
8300,707.78656
8400,700.368774
8500,692.219727
8600,683.384338
8700,673.925232
8800,663.934875
8900,653.52655
9000,642.71759
9100,631.662231
9200,620.380249
9300,608.940369
9400,597.506775
9500,585.99292
9600,574.57843
9700,563.22467
9800,552.031433
9900,540.967163
10000,530.114258
10100,519.510498
10200,509.110504
10300,498.966797
10400,489.075439
10500,479.44104
10600,470.079193
10700,460.986755
10800,452.16214
10900,443.578613
11000,435.265961
11100,427.197235
11200,419.33255
11300,411.758057
11400,404.355042
11500,397.179596
11600,390.220062
11700,383.420624
11800,376.81897
11900,370.401276
12000,364.149719
12100,358.017883
12200,352.050812
12300,346.217499
12400,340.541016
12500,334.985229
12600,329.538361
12700,324.207458
12800,318.958679
12900,313.830688
13000,308.787659
13100,303.867157
13200,298.927307
13300,294.149994
13400,289.43045
13500,284.740967
13600,280.108368
13700,275.548126
13800,270.973389
13900,266.542755
14000,261.987091
14100,257.543976
14200,253.10141
14300,248.605804
14400,244.146347
14500,239.628235
14600,234.97229
14700,230.34407
14800,225.447891
14900,220.33139
15000,214.397339
