x,y,data
0,0,24.5142231
100,0,27.8408737
200,0,31.843605
300,0,36.9427948
400,0,43.8750496
500,0,54.7531242
600,0,84.0672989
700,0,99.7597351
800,0,93.7374039
900,0,95.6662521
1000,0,98.2371521
1100,0,101.240143
1200,0,104.51741
1300,0,107.74556
1400,0,110.420891
1500,0,112.10891
1600,0,112.495728
1700,0,111.541061
1800,0,109.424721
1900,0,106.441154
2000,0,102.893913
2100,0,99.0340652
2200,0,95.0090714
2300,0,90.9238586
2400,0,86.8159943
2500,0,82.7469101
2600,0,78.7368546
2700,0,74.8389816
2800,0,71.0740738
2900,0,67.4697189
3000,0,64.0488205
3100,0,60.8105965
3200,0,57.782299
3300,0,54.9373627
3400,0,52.2790604
3500,0,49.8022346
3600,0,47.4892464
3700,0,45.3395233
3800,0,43.318779
3900,0,41.4328346
4000,0,39.672451
4100,0,38.0089111
4200,0,36.444397
4300,0,34.9752693
4400,0,33.5853081
4500,0,32.2491074
4600,0,30.9971066
4700,0,29.7936344
4800,0,28.627903
4900,0,27.5384789
5000,0,26.4754734
5100,0,25.4416332
5200,0,24.4662094
5300,0,23.516428
5400,0,22.5745316
5500,0,21.6742859
5600,0,20.7975693
5700,0,19.9346352
5800,0,19.0837593
5900,0,18.2164631
6000,0,17.3001614
0,100,25.0624638
100,100,28.6335716
200,100,32.9266396
300,100,38.5029488
400,100,46.4520073
500,100,60.3208427
600,100,108.484322
700,100,129.446091
800,100,109.605301
900,100,107.640625
1000,100,107.977165
1100,100,109.649475
1200,100,112.185722
1300,100,115.020561
1400,100,117.453766
1500,100,118.894165
1600,100,118.928589
1700,100,117.518265
1800,100,114.848412
1900,100,111.29052
2000,100,107.194054
2100,100,102.837608
2200,100,98.3771591
2300,100,93.9090652
2400,100,89.4739075
2500,100,85.1143341
2600,100,80.8463898
2700,100,76.7255478
2800,100,72.7618561
2900,100,68.9863129
3000,100,65.4179382
3100,100,62.0592613
3200,100,58.9051933
3300,100,55.9731026
3400,100,53.2347069
3500,100,50.6805496
3600,100,48.316021
3700,100,46.1035156
3800,100,44.0482025
3900,100,42.1172523
4000,100,40.3212013
4100,100,38.6300392
4200,100,37.047924
4300,100,35.5519409
4400,100,34.1214943
4500,100,32.7935944
4600,100,31.5123329
4700,100,30.2955132
4800,100,29.124918
4900,100,28.0019722
5000,100,26.9294395
5100,100,25.9193974
5200,100,24.890337
5300,100,23.9503517
5400,100,22.9994259
5500,100,22.0819798
5600,100,21.2015152
