x,y,data
0,0,-14.5306959
100,0,-15.8668509
200,0,-20.179163
300,0,-27.6057568
400,0,-42.7043419
500,0,-79.5941925
600,0,281.954834
700,0,422.281952
800,0,174.375626
900,0,174.888077
1000,0,176.956985
1100,0,182.724411
1200,0,193.867416
1300,0,207.963211
1400,0,220.65863
1500,0,227.952896
1600,0,227.615051
1700,0,219.625259
1800,0,206.003906
1900,0,189.623825
2000,0,172.927887
2100,0,157.169357
2200,0,142.745911
2300,0,129.565964
2400,0,117.368408
2500,0,106.007698
2600,0,95.4185486
2700,0,85.6255264
2800,0,76.665741
2900,0,68.6044083
3000,0,61.4313889
3100,0,55.1123199
3200,0,49.5554962
3300,0,44.774189
3400,0,40.599884
3500,0,36.9579277
3600,0,33.8541336
3700,0,31.1053162
3800,0,28.7713642
3900,0,26.6761723
4000,0,24.8920765
4100,0,23.2566624
4200,0,21.859127
4300,0,20.5511475
4400,0,19.420166
4500,0,18.330101
4600,0,17.3552513
4700,0,16.4769325
4800,0,15.6064243
4900,0,14.8058586
5000,0,14.0518379
5100,0,13.3969011
5200,0,12.6577454
5300,0,12.0059462
5400,0,11.3843565
5500,0,10.7929945
5600,0,10.226963
5700,0,9.67845631
5800,0,9.15856361
5900,0,8.63942623
6000,0,6.65382671
0,100,-13.7346115
100,100,-14.0823908
200,100,-19.4588776
300,100,-29.4750156
400,100,-51.9230881
500,100,-113.457741
600,100,616.233765
700,100,854.036011
800,100,291.736664
900,100,254.685867
1000,100,236.19017
1100,100,230.425735
1200,100,236.135788
1300,100,248.361435
1400,100,260.429382
1500,100,266.72113
1600,100,264.113617
1700,100,252.513718
1800,100,234.488998
1900,100,213.695724
2000,100,193.091049
2100,100,174.167587
2200,100,157.252151
2300,100,142.085861
2400,100,128.295425
2500,100,115.599052
2600,100,103.884613
2700,100,93.1397629
2800,100,83.3961945
2900,100,74.6751175
3000,100,66.9582367
3100,100,60.1971245
3200,100,54.3141899
3300,100,49.2155991
3400,100,44.8100014
3500,100,41.009903
3600,100,37.7268944
3700,100,34.8839645
3800,100,32.4186859
3900,100,30.27388
4000,100,28.3863144
4100,100,26.7302017
4200,100,25.2538433
4300,100,23.9339428
4400,100,22.7370548
4500,100,21.651926
4600,100,20.6484642
4700,100,19.721159
4800,100,18.8537312
4900,100,18.0387249
5000,100,17.2680569
5100,100,16.5422211
5200,100,15.8417101
5300,100,15.1837158
