x,data
0,-12.8299446
100,2.02556586
200,2.68991709
300,3.04750013
400,3.34752226
500,3.64109898
600,3.9460516
700,4.27225351
800,4.62293339
900,5.00335264
1000,5.41713476
1100,5.86509037
1200,6.35230827
1300,6.87971926
1400,7.45027494
1500,8.06900883
1600,8.73634529
1700,9.45928478
1800,10.2387543
1900,11.080327
2000,11.987752
2100,12.9653082
2200,14.0173807
2300,15.1486645
2400,16.3596191
2500,17.6574745
2600,19.0426426
2700,20.518898
2800,22.0892811
2900,23.7586346
3000,25.5310497
3100,27.4142418
3200,29.4176064
3300,31.5476322
3400,33.8181381
3500,36.2381477
3600,38.8166809
3700,41.5652351
3800,44.4905014
3900,47.6031189
4000,50.9115753
4100,54.4210167
4200,58.1406326
4300,62.0739441
4400,66.2294006
4500,70.6094437
4600,75.218895
4700,80.0593948
4800,85.1331635
4900,90.4407883
5000,95.9807129
5100,101.748619
5200,107.739388
5300,113.941444
5400,120.336151
5500,126.895393
5600,133.574219
5700,140.317047
5800,147.070312
5900,153.796768
6000,160.493958
6100,167.175766
6200,173.867126
6300,180.5728
6400,187.276825
6500,193.945099
6600,200.532806
6700,206.991562
6800,213.264099
6900,219.288452
7000,224.996643
7100,230.315002
7200,235.155121
7300,239.424271
7400,243.017654
7500,245.821075
7600,247.718887
7700,248.592392
7800,248.335312
7900,246.85585
8000,244.083435
8100,239.989288
8200,234.574631
8300,227.88623
8400,220.013351
8500,211.079193
8600,201.240845
8700,190.675003
8800,179.570831
8900,168.118256
9000,156.499268
9100,144.881332
9200,133.4133
9300,122.218658
9400,111.401688
9500,101.039879
9600,91.1941452
9700,81.9049377
9800,73.1975021
9900,65.0829086
10000,57.5630531
10100,50.6319504
10200,44.2747688
10300,38.471962
10400,33.2001953
10500,28.4329815
10600,24.1411076
10700,20.2936726
10800,16.8587933
10900,13.802619
11000,11.0950499
11100,8.70204067
11200,6.5950551
11300,4.74304342
11400,3.11948419
11500,1.69833207
11600,0.456462532
11700,-0.626091182
11800,-1.56902897
11900,-2.38824105
12000,-3.09815836
12100,-3.71177912
12200,-4.23885679
12300,-4.68988895
12400,-5.07172775
12500,-5.39223862
12600,-5.65590429
12700,-5.87002087
12800,-6.03774405
12900,-6.16282415
13000,-6.24984312
13100,-6.30098009
13200,-6.32102966
13300,-6.31064224
13400,-6.27402782
13500,-6.21285772
13600,-6.12988663
13700,-6.02647305
13800,-5.90586281
13900,-5.76904154
14000,-5.61872721
14100,-5.45646286
14200,-5.28479052
14300,-5.10640049
14400,-4.92328167
14500,-4.74142742
14600,-4.56772089
14700,-4.42037868
14800,-4.35078192
14900,-4.60591841
15000,-19.0701656
