x,y,data
0,0,17.1444511
100,0,18.4682026
200,0,19.9124928
300,0,21.5004406
400,0,23.24897
500,0,25.1771832
600,0,27.3085785
700,0,29.6630611
800,0,32.29039
900,0,35.2193832
1000,0,38.5034294
1100,0,42.2054558
1200,0,46.4127579
1300,0,51.222702
1400,0,56.7978172
1500,0,63.4027901
1600,0,71.6210709
1700,0,83.0511322
1800,0,106.083961
1900,0,123.684258
2000,0,111.826164
2100,0,95.3643188
2200,0,92.0062561
2300,0,93.8744049
2400,0,99.9081955
2500,0,110.367592
2600,0,126.594864
2700,0,152.040817
2800,0,202.179565
2900,0,251.268723
3000,0,273.523346
3100,0,284.262451
3200,0,286.657593
3300,0,281.568634
3400,0,268.369873
3500,0,244.088882
3600,0,193.493042
3700,0,142.276154
3800,0,115.859917
3900,0,98.2970963
4000,0,85.5369263
4100,0,75.5549393
4200,0,67.2235794
4300,0,59.9644737
4400,0,53.53545
4500,0,47.8473053
4600,0,42.8397598
4700,0,38.4580688
4800,0,34.6353836
4900,0,31.2995567
5000,0,28.3828907
5100,0,25.8251362
5200,0,23.5689392
5300,0,21.5814571
5400,0,19.8137665
5500,0,18.2406158
5600,0,16.83181
5700,0,15.569293
5800,0,14.4342594
5900,0,13.4050236
6000,0,12.4686632
0,100,17.2710075
100,100,18.6173668
200,100,20.0864601
300,100,21.70051
400,100,23.4895782
500,100,25.4552078
600,100,27.6445045
700,100,30.0677032
800,100,32.780426
900,100,35.8225021
1000,100,39.2528687
1100,100,43.1600952
1200,100,47.6336479
1300,100,52.8398285
1400,100,58.9928055
1500,100,66.5305252
1600,100,76.4368439
1700,100,91.6840515
1800,100,129.459106
1900,100,159.093231
2000,100,135.219925
2100,100,104.178818
2200,100,97.4308395
2300,100,98.3826904
2400,100,104.764664
2500,100,116.778999
2600,100,136.51268
2700,100,170.069778
2800,100,248.625916
2900,100,326.050781
3000,100,356.157349
3100,100,369.920135
3200,100,373.061707
3300,100,366.989502
3400,100,350.570679
3500,100,318.313538
3600,100,239.361755
3700,100,159.788742
3800,100,125.349831
3900,100,104.286972
4000,100,89.7623978
4100,100,78.763916
4200,100,69.7467194
4300,100,61.9605827
4400,100,55.105854
4500,100,49.071228
4600,100,43.7937622
4700,100,39.2035904
4800,100,35.221714
4900,100,31.7657757
5000,100,28.7513599
5100,100,26.1291466
5200,100,23.8182564
5300,100,21.7835827
5400,100,19.9826355
5500,100,18.381937
5600,100,16.9572678
5700,100,15.6739492
5800,100,14.5229301
5900,100,13.4809866
6000,100,12.5390329
0,200,17.3365173
100,200,18.6884251
200,200,20.1724434
300,200,21.808651
400,200,23.6049538
500,200,25.6033268
600,200,27.8176003
700,200,30.2783985
800,200,33.035202
900,200,36.1320152
1000,200,39.6450615
1100,200,43.6559868
1200,200,48.2826729
1300,200,53.7019615
1400,200,60.1854553
1500,200,68.252739
1600,200,79.1063538
1700,200,96.1381531
1800,200,136.78685
1900,200,168.112045
2000,200,142.547119
2100,200,108.712662
2200,200,100.404175
2300,200,100.839828
2400,200,107.40596
2500,200,120.299179
2600,200,141.998093
2700,200,179.535049
2800,200,264.94342
2900,200,349.179871
3000,200,383.120911
3100,200,398.58313
3200,200,402.155701
3300,200,395.518433
3400,200,377.289429
3500,200,341.13028
3600,200,255.360077
3700,200,168.973099
3800,200,130.606552
3900,200,107.59066
4000,200,92.0627594
4100,200,80.4976501
4200,200,71.1009369
4300,200,63.0242653
4400,200,55.9387512
4500,200,49.7164993
4600,200,44.2909546
4700,200,39.5897141
4800,200,35.5253868
4900,200,32.0045929
5000,200,28.9433613
5100,200,26.2819462
5200,200,23.9430122
5300,200,21.8884869
5400,200,20.0747643
5500,200,18.4571209
5600,200,17.0158634
5700,200,15.7314606
5800,200,14.5650606
5900,200,13.5195398
6000,200,12.5770741
0,300,17.3363628
100,300,18.6927929
200,300,20.1735516
300,300,21.806036
400,300,23.6085949
500,300,25.6019917
600,300,27.8146343
700,300,30.2762623
800,300,33.0314331
900,300,36.1347313
1000,300,39.6420898
1100,300,43.6531067
1200,300,48.2839546
1300,300,53.7028389
1400,300,60.1876831
1500,300,68.2548828
1600,300,79.1095505
1700,300,96.1414948
1800,300,136.786804
1900,300,168.1129
2000,300,142.548691
2100,300,108.715424
2200,300,100.405327
2300,300,100.841019
2400,300,107.408157
2500,300,120.301292
2600,300,141.998734
2700,300,179.536392
2800,300,264.945618
2900,300,349.179871
3000,300,383.121765
3100,300,398.584076
3200,300,402.156891
3300,300,395.519531
3400,300,377.290771
3500,300,341.13089
3600,300,255.359467
3700,300,168.971115
3800,300,130.607391
3900,300,107.590057
4000,300,92.0634308
4100,300,80.4975357
4200,300,71.1014557
4300,300,63.0263405
4400,300,55.9365883
4500,300,49.7154617
4600,300,44.2921753
4700,300,39.5908699
4800,300,35.5268745
4900,300,32.0016251
5000,300,28.9443741
5100,300,26.2798195
5200,300,23.9434433
5300,300,21.8891773
5400,300,20.0727425
5500,300,18.4556713
5600,300,17.0204506
5700,300,15.7254305
5800,300,14.5668468
5900,300,13.5204906
6000,300,12.5774937
0,400,17.2707214
100,400,18.6153164
200,400,20.0867214
300,400,21.7035007
400,400,23.4880753
500,400,25.4582138
600,400,27.6431942
700,400,30.0707188
800,400,32.7796173
900,400,35.821846
1000,400,39.2528343
1100,400,43.1563377
1200,400,47.6344147
1300,400,52.8389854
1400,400,58.994812
1500,400,66.5301208
1600,400,76.4406204
1700,400,91.6828156
1800,400,129.458908
1900,400,159.092377
2000,400,135.222183
2100,400,104.18055
2200,400,97.4329605
2300,400,98.3847427
2400,400,104.766884
2500,400,116.779945
2600,400,136.513077
2700,400,170.069702
2800,400,248.626846
2900,400,326.052704
3000,400,356.158997
3100,400,369.921326
3200,400,373.062073
3300,400,366.990234
3400,400,350.569702
3500,400,318.313049
3600,400,239.363129
3700,400,159.788391
3800,400,125.349808
3900,400,104.289124
4000,400,89.7622604
4100,400,78.7628784
4200,400,69.7467651
4300,400,61.96241
4400,400,55.1031189
4500,400,49.069912
4600,400,43.7930984
4700,400,39.2038231
4800,400,35.2221909
4900,400,31.7647457
5000,400,28.7535286
5100,400,26.1278
5200,400,23.8170853
5300,400,21.7872086
5400,400,19.9839821
5500,400,18.3841019
5600,400,16.9555321
5700,400,15.6696405
5800,400,14.5199881
5900,400,13.4819536
6000,400,12.5416508
0,500,17.1419811
100,500,18.460207
200,500,19.916193
300,500,21.502573
400,500,23.2498016
500,500,25.1772442
600,500,27.3054695
700,500,29.6666565
800,500,32.2875862
900,500,35.21455
1000,500,38.4999695
1100,500,42.2037506
1200,500,46.4086914
1300,500,51.2219391
1400,500,56.7961388
1500,500,63.401577
1600,500,71.6228638
1700,500,83.0525513
1800,500,106.083054
1900,500,123.684105
2000,500,111.827309
2100,500,95.3661118
2200,500,92.0071259
2300,500,93.8744125
2400,500,99.9111862
2500,500,110.369804
2600,500,126.595123
2700,500,152.042267
2800,500,202.17952
2900,500,251.270645
3000,500,273.523712
3100,500,284.263733
3200,500,286.659119
3300,500,281.569702
3400,500,268.3703
3500,500,244.088867
3600,500,193.494919
3700,500,142.277191
3800,500,115.859146
3900,500,98.2944641
4000,500,85.5363922
4100,500,75.5545654
4200,500,67.2246475
4300,500,59.9652481
4400,500,53.5380669
4500,500,47.8456459
4600,500,42.8426018
4700,500,38.4590492
4800,500,34.6333847
4900,500,31.2975979
5000,500,28.3845253
5100,500,25.8253784
5200,500,23.5713844
5300,500,21.5817833
5400,500,19.8142166
5500,500,18.237772
5600,500,16.8311787
5700,500,15.5700016
5800,500,14.4319954
5900,500,13.4032679
6000,500,12.4688435
