x,y,data
0,0,-1.2034806
100,0,-0.714907885
200,0,-0.116652809
300,0,0.610712945
400,0,1.49177933
500,0,2.55584574
600,0,3.83684373
700,0,5.37837791
800,0,7.23370838
900,0,9.47335815
1000,0,12.1797047
1100,0,15.444109
1200,0,19.3344612
1300,0,23.7995434
1400,0,28.4780502
1500,0,32.4679489
1600,0,34.5004234
1700,0,35.0778885
1800,0,292.573669
1900,0,545.037048
2000,0,274.647247
2100,0,3.78487635
2200,0,-3.53713799
2300,0,-6.54115486
2400,0,-8.00565815
2500,0,-8.6106472
2600,0,-8.02605534
2700,0,-2.79570675
2800,0,443.304779
2900,0,888.858337
3000,0,892.431152
3100,0,890.267456
3200,0,886.061707
3300,0,880.862305
3400,0,875.452759
3500,0,868.211975
3600,0,424.470459
3700,0,-14.3710623
3800,0,-8.669837
3900,0,2.57583952
4000,0,12.9004383
4100,0,19.2889748
4200,0,20.6951084
4300,0,18.013773
4400,0,13.2164021
4500,0,8.16399574
4600,0,3.82202029
4700,0,0.455723166
4800,0,-1.94711542
4900,0,-3.5764606
5000,0,-4.66528797
5100,0,-5.34155416
5200,0,-5.72226143
5300,0,-5.90949726
5400,0,-5.97899199
5500,0,-5.93035889
5600,0,-5.82236195
5700,0,-5.7035265
5800,0,-5.53592968
5900,0,-5.34944534
6000,0,-5.14320946
0,100,-1.12301707
100,100,-0.612437904
200,100,1.50E-02
300,100,0.780245483
400,100,1.70983887
500,100,2.83826923
600,100,4.20276499
700,100,5.858675
800,100,7.87025023
900,100,10.3254824
1000,100,13.3378334
1100,100,17.0398865
1200,100,21.5559502
1300,100,26.8865623
1400,100,32.6650314
1500,100,37.8426208
1600,100,40.9274635
1700,100,43.5258408
1800,100,561.582642
1900,100,1072.08923
2000,100,540.187622
2100,100,6.51231718
2200,100,-3.41542673
2300,100,-6.78938484
2400,100,-8.18788624
2500,100,-8.50985336
2600,100,-7.10946178
2700,100,2.26314831
2800,100,890.589661
2900,100,1778.25195
3000,100,1785.60669
3100,100,1783.61011
3200,100,1778.68518
3300,100,1772.23645
