x,y,z,data,xderiv,yderiv,zderiv
-5000.0,-5000.0,-150.0,-3.4461377086526883,-0.0019083212626873616,-0.0009036371594523082,0.0032146431328578455
-5000.0,-4898.989898989899,-150.0,-3.5367507049467375,-0.0020069772587961595,-0.0009036371594523082,0.0026626194926243707
-5000.0,-4797.979797979798,-150.0,-3.628690670158205,-0.0021100783984059042,-0.000916186111693984,0.002649108672725527
-5000.0,-4696.969696969697,-150.0,-3.7218388083192595,-0.002217687698075565,-0.0009274844485399256,0.0026757366716232567
-5000.0,-4595.959595959596,-150.0,-3.8160612658228366,-0.002329846892384491,-0.0009373807176620275,0.002741879613283766
-5000.0,-4494.949494949495,-150.0,-3.9112086502711843,-0.002446573077493714,-0.0009457193775816987,0.002840623008023649
-5000.0,-4393.939393939394,-150.0,-4.007115685536311,-0.0025678551851113732,-0.0009523422847069026,0.0029435256849616206
-5000.0,-4292.929292929293,-150.0,-4.1036010310200535,-0.002693650329792992,-0.0009570904622849167,0.003074258170019142
-5000.0,-4191.919191919192,-150.0,-4.200467294078718,-0.0028238800851279403,-0.0009598061569773049,0.0032019130194357514
-5000.0,-4090.909090909091,-150.0,-4.297501264752842,-0.002958426757894596,-0.000960335179750363,0.0033538744558110527
-5000.0,-3989.89898989899,-150.0,-4.394474401098994,-0.0030971297433063797,-0.0009585295165756736,0.0035010332134535224
-5000.0,-3888.8888888888887,-150.0,-4.4911435913337865,-0.0032397820584479605,-0.0009542501810417209,0.0036696545409212345
-5000.0,-3787.878787878788,-150.0,-4.587252215450857,-0.003386127164193121,-0.0009473702655252887,0.003833143707314553
-5000.0,-3686.868686868687,-150.0,-4.682531523763138,-0.0035358561974079624,-0.0009377781303866843,0.004015609059682925
-5000.0,-3585.8585858585857,-150.0,-4.776702342801702,-0.003688605744038832,-0.0009253806522913785,0.0041928543656536
-5000.0,-3484.848484848485,-150.0,-4.869477110084628,-0.0038439562886120847,-0.000910106434038989,0.004386734775095476
-5000.0,-3383.838383838384,-150.0,-4.960562228466144,-0.004001431475533624,-0.0008919088602969003,0.004575139723209898
-5000.0,-3282.8282828282827,-150.0,-5.049660718225416,-0.004160498311203998,-0.0008707688677709666,0.004777835163812337
-5000.0,-3181.818181818182,-150.0,-5.136475131046137,-0.004320568422346973,-0.0008466972862296717,0.004974465559482081
-5000.0,-3080.808080808081,-150.0,-5.220710675039491,-0.004481000464349012,-0.0008197366002415706,0.00518293497001223
-5000.0,-2979.7979797979797,-150.0,-5.302078484630293,-0.004641103743532903,-0.0007899619823699443,0.005384347781576888
-5000.0,-2878.787878787879,-150.0,-5.380298954306147,-0.004800143079424351,-0.0007574814586839748,0.00559497713430408
-5000.0,-2777.777777777778,-150.0,-5.455105041940187,-0.004957344888223965,-0.000722435088288382,0.005797142303838507
-5000.0,-2676.7676767676767,-150.0,-5.526245436788648,-0.005111904418681803,-0.0006849930711091017,0.006005704976760105
-5000.0,-2575.757575757576,-150.0,-5.593487480548086,-0.005262994019030874,-0.000645352742580157,0.00620400629135374
-5000.0,-2474.747474747475,-150.0,-5.656619728218983,-0.0054097722619698835,-0.0006037344693158445,0.006405704125810999
-5000.0,-2373.7373737373737,-150.0,-5.715454040005833,-0.005551393707860393,-0.0005603765242634203,0.006595018070862795
-5000.0,-2272.7272727272725,-150.0,-5.769827106858058,-0.005687019048556458,-0.0005155290898506466,0.006784601792614956
-5000.0,-2171.717171717172,-150.0,-5.819601330884751,-0.005815825349678232,-0.0004694476086253704,0.006959455123681669
-5000.0,-2070.7070707070707,-150.0,-5.864665007590456,-0.005937016101101587,-0.0004223857671188326,0.007131422456603923
-5000.0,-1969.6969696969695,-150.0,-5.904931788888556,-0.0060498307961808,-0.00037458845375573977,0.0072862246695801006
-5000.0,-1868.6868686868688,-150.0,-5.9403394426926255,-0.0061535537903295075,-0.0003262850690695741,0.007435088147675404
-5000.0,-1767.6767676767677,-150.0,-5.970847964458167,-0.006247522237612764,-0.00027768358035085237,0.007564426412582575
-5000.0,-1666.6666666666665,-150.0,-5.996437135692798,-0.006331132966387023,-0.0002289656986214455,0.007685033226066576
-5000.0,-1565.6565656565658,-150.0,-6.017103661149368,-0.006403848226227819,-0.00018028351109621257,0.007784006817809148
-5000.0,-1464.6464646464647,-150.0,-6.032858047025366,-0.006465200311369422,-0.00013175782741408032,0.00787188254810611
-5000.0,-1363.6363636363635,-150.0,-6.043721404061303,-0.006514795132871056,-8.347839636562683e-05,0.007936443936602698
-5000.0,-1262.6262626262628,-150.0,-6.049722369523472,-0.006552314865169413,-3.5506028188800085e-05,0.00798812359114747
-5000.0,-1161.6161616161617,-150.0,-6.05089433904894,-0.006577519826317335,1.2123474965699855e-05,0.008015386996770991
