x,y,data
502000,6467000,-3.045261071
502000,6467080.808,-3.316956846
502000,6467161.616,-3.58865262
502000,6467242.424,-3.828731649
502000,6467323.232,-4.04020505
502000,6467404.04,-4.249789734
502000,6467484.848,-4.423488796
502000,6467565.657,-4.597187859
502000,6467646.465,-4.770365485
502000,6467727.273,-4.943157702
502000,6467808.081,-5.109753945
502000,6467888.889,-5.22058643
502000,6467969.697,-5.331418915
502000,6468050.505,-5.442245043
502000,6468131.313,-5.553067358
502000,6468212.121,-5.666916692
502000,6468292.929,-5.79791914
502000,6468373.737,-5.928921588
502000,6468454.545,-6.070193625
502000,6468535.354,-6.216410278
502000,6468616.162,-6.394162621
502000,6468696.97,-6.698057722
502000,6468777.778,-7.001952823
502000,6468858.586,-7.118427851
502000,6468939.394,-7.163812506
502000,6469020.202,-7.232387903
502000,6469101.01,-7.370535528
502000,6469181.818,-7.508683152
502000,6469262.626,-7.862433722
502000,6469343.434,-8.278778695
502000,6469424.242,-8.679625797
502000,6469505.051,-9.0443112
502000,6469585.859,-9.408996603
502000,6469666.667,-9.485696402
502000,6469747.475,-9.501308346
502000,6469828.283,-9.586055859
502000,6469909.091,-9.799198
502000,6469989.899,-10.01234014
502000,6470070.707,-10.06331918
502000,6470151.515,-10.09113207
502000,6470232.323,-10.1143077
502000,6470313.131,-10.13052745
502000,6470393.939,-10.1467472
502000,6470474.747,-10.17516826
502000,6470555.556,-10.20457861
502000,6470636.364,-10.20785884
502000,6470717.172,-10.17920226
502000,6470797.98,-10.15054567
502000,6470878.788,-9.96871685
502000,6470959.596,-9.782960532
502000,6471040.404,-9.483237444
502000,6471121.212,-9.069547585
502000,6471202.02,-8.659431194
502000,6471282.828,-8.388680091
502000,6471363.636,-8.117928988
502000,6471444.444,-7.95172164
502000,6471525.253,-7.87105009
502000,6471606.061,-7.767446842
502000,6471686.869,-7.381019317
502000,6471767.677,-6.994591792
502000,6471848.485,-6.468932086
502000,6471929.293,-5.850450927
502000,6472010.101,-5.245812926
502000,6472090.909,-4.738077039
502000,6472171.717,-4.230341152
502000,6472252.525,-3.695911213
502000,6472333.333,-3.147107555
502000,6472414.141,-2.613670993
502000,6472494.949,-2.152679313
502000,6472575.758,-1.691687632
502000,6472656.566,-1.276850401
502000,6472737.374,-0.881793649
502000,6472818.182,-0.484931586
502000,6472898.99,-0.081851229
502000,6472979.798,0.321229128
502000,6473060.606,0.789239247
502000,6473141.414,1.278892621
502000,6473222.222,1.735923216
502000,6473303.03,2.106948302
502000,6473383.838,2.477973389
502000,6473464.646,2.701504529
502000,6473545.455,2.888162183
502000,6473626.263,3.066881857
502000,6473707.071,3.229114959
502000,6473787.879,3.391348061
502000,6473868.687,3.424868227
502000,6473949.495,3.435674345
502000,6474030.303,3.391230494
502000,6474111.111,3.254703362
502000,6474191.919,3.11817623
502000,6474272.727,3.048152408
502000,6474353.535,2.985517841
502000,6474434.343,2.950345897
502000,6474515.152,2.952329264
502000,6474595.96,2.954312631
502000,6474676.768,2.791674831
502000,6474757.576,2.620372759
502000,6474838.384,2.459859408
502000,6474919.192,2.311270432
502000,6475000,2.162681456
502101.0101,6467000,-2.883130717
502101.0101,6467080.808,-3.136111654
502101.0101,6467161.616,-3.403128719
502101.0101,6467242.424,-3.643207748
502101.0101,6467323.232,-3.854540561
502101.0101,6467404.04,-4.063680049
502101.0101,6467484.848,-4.237379111
502101.0101,6467565.657,-4.44338858
502101.0101,6467646.465,-4.693641928
502101.0101,6467727.273,-4.937374845
502101.0101,6467808.081,-5.114692844
502101.0101,6467888.889,-5.332742888
502101.0101,6467969.697,-5.459658007
502101.0101,6468050.505,-5.570484135
502101.0101,6468131.313,-5.692494297
502101.0101,6468212.121,-5.836313028
502101.0101,6468292.929,-6.008616935
502101.0101,6468373.737,-6.143749529
502101.0101,6468454.545,-6.285021565
502101.0101,6468535.354,-6.437269378
