x,y,data
365020,2836860,-41.04955606
365060,2836860,-41.05149396
365100,2836860,-41.06743911
365140,2836860,-41.07228198
365180,2836860,-41.07536904
365220,2836860,-41.08820103
365260,2836860,-41.09974103
365300,2836860,-41.116866
365340,2836860,-41.12357706
365380,2836860,-41.14638607
365420,2836860,-41.16746506
365460,2836860,-41.19844601
365500,2836860,-41.246371
365540,2836860,-41.28524501
365580,2836860,-41.33478901
365620,2836860,-41.37230601
365660,2836860,-41.41742608
365700,2836860,-41.46938203
365740,2836860,-41.54701005
365780,2836860,-41.58216102
365820,2836860,-41.62014003
365860,2836860,-41.66169404
365900,2836860,-41.71242602
365940,2836860,-41.76489102
365980,2836860,-41.88738502
366020,2836860,-41.96118104
366060,2836860,-42.02063906
366100,2836860,-42.05483099
366140,2836860,-42.07767003
366180,2836860,-42.11442403
366220,2836860,-42.15368102
366260,2836860,-42.20802906
366300,2836860,-42.25924901
366340,2836860,-42.29725106
366380,2836860,-42.33342401
366420,2836860,-42.36972702
366460,2836860,-42.43022505
366500,2836860,-42.46468502
366540,2836860,-42.50836203
366580,2836860,-42.53209699
366620,2836860,-42.54516494
365020,2837018.2,-41.00004049
365060,2837018.2,-41.00845306
365100,2837018.2,-41.01441673
365140,2837018.2,-41.02501159
365180,2837018.2,-41.02838932
365220,2837018.2,-41.02615248
365260,2837018.2,-41.02623567
365300,2837018.2,-41.02132467
365340,2837018.2,-41.01908851
365380,2837018.2,-41.02943733
365420,2837018.2,-41.05270459
365460,2837018.2,-41.09002741
365500,2837018.2,-41.13070677
365540,2837018.2,-41.19004653
365580,2837018.2,-41.25157915
365620,2837018.2,-41.3278557
365660,2837018.2,-41.3935057
365700,2837018.2,-41.44837586
365740,2837018.2,-41.486992
365780,2837018.2,-41.50051873
365820,2837018.2,-41.52244685
365860,2837018.2,-41.61222157
365900,2837018.2,-41.69170556
365940,2837018.2,-41.77471222
365980,2837018.2,-41.86011728
366020,2837018.2,-41.92532009
366060,2837018.2,-41.97766349
366100,2837018.2,-42.007149
366140,2837018.2,-42.03763151
366180,2837018.2,-42.09370628
366220,2837018.2,-42.17671692
366260,2837018.2,-42.28732449
366300,2837018.2,-42.38805078
366340,2837018.2,-42.437951
366380,2837018.2,-42.45674222
366420,2837018.2,-42.48799369
366460,2837018.2,-42.55635484
366500,2837018.2,-42.66744141
366540,2837018.2,-42.79564959
366580,2837018.2,-42.86269289
366620,2837018.2,-42.83237808
365020,2837176.4,-40.94915331
365060,2837176.4,-40.96428081
365100,2837176.4,-40.97462877
365140,2837176.4,-40.99266158
365180,2837176.4,-40.99897222
365220,2837176.4,-41.00442083
365260,2837176.4,-41.00653179
365300,2837176.4,-41.0068358
365340,2837176.4,-41.00349815
365380,2837176.4,-41.00265654
365420,2837176.4,-41.01269232
365460,2837176.4,-41.03216438
365500,2837176.4,-41.06153361
365540,2837176.4,-41.10736482
365580,2837176.4,-41.18228498
365620,2837176.4,-41.25844234
365660,2837176.4,-41.33000144
365700,2837176.4,-41.39222154
365740,2837176.4,-41.44529818
365780,2837176.4,-41.48697425
365820,2837176.4,-41.50587416
365860,2837176.4,-41.51447621
365900,2837176.4,-41.55349851
365940,2837176.4,-41.62923627
365980,2837176.4,-41.72295663
366020,2837176.4,-41.82350161
366060,2837176.4,-41.91063004
366100,2837176.4,-41.97136038
366140,2837176.4,-42.00298012
366180,2837176.4,-42.06067092
366220,2837176.4,-42.18062705
366260,2837176.4,-42.32095201
366300,2837176.4,-42.43600813
366340,2837176.4,-42.47663125
366380,2837176.4,-42.4720392
366420,2837176.4,-42.50394806
366460,2837176.4,-42.57840623
366500,2837176.4,-42.70219047
366540,2837176.4,-42.87363726
366580,2837176.4,-42.98875355
366620,2837176.4,-42.92030522
365020,2837334.6,-40.85601889
365060,2837334.6,-40.8752149
365100,2837334.6,-40.89326558
365140,2837334.6,-40.91349259
365180,2837334.6,-40.94200921
365220,2837334.6,-40.96297702
365260,2837334.6,-40.97754126
365300,2837334.6,-40.99510202
365340,2837334.6,-41.0022393
365380,2837334.6,-41.00796924
365420,2837334.6,-41.01075284
365460,2837334.6,-41.01498793
365500,2837334.6,-41.02521185
365540,2837334.6,-41.04290755
365580,2837334.6,-41.08579265
365620,2837334.6,-41.13825798
365660,2837334.6,-41.20698059
365700,2837334.6,-41.27105327
365740,2837334.6,-41.35168715
365780,2837334.6,-41.42962939
365820,2837334.6,-41.48975339
365860,2837334.6,-41.5182377
365900,2837334.6,-41.53424546
365940,2837334.6,-41.53700008
365980,2837334.6,-41.51911704
366020,2837334.6,-41.57693759
366060,2837334.6,-41.67790665
366100,2837334.6,-41.8025957
366140,2837334.6,-41.91922173
366180,2837334.6,-41.990748
366220,2837334.6,-42.01636311
366260,2837334.6,-42.10250539
366300,2837334.6,-42.24985006
366340,2837334.6,-42.42090962
366380,2837334.6,-42.48979749
366420,2837334.6,-42.49423572
366460,2837334.6,-42.55185485
366500,2837334.6,-42.65227183
366540,2837334.6,-42.78988424
366580,2837334.6,-42.89614979
366620,2837334.6,-42.91587408
365020,2837492.8,-40.65028899
365060,2837492.8,-40.66128456
365100,2837492.8,-40.69489744
365140,2837492.8,-40.7450438
365180,2837492.8,-40.79991197
365220,2837492.8,-40.84562809
365260,2837492.8,-40.88272868
365300,2837492.8,-40.91477978
365340,2837492.8,-40.94963985
365380,2837492.8,-40.97318144
365420,2837492.8,-40.987946
365460,2837492.8,-41.00250608
365500,2837492.8,-41.00558454
365540,2837492.8,-41.00756778
365580,2837492.8,-41.0202907
365620,2837492.8,-41.05732576
365660,2837492.8,-41.10986981
365700,2837492.8,-41.16752429
365740,2837492.8,-41.24125138
365780,2837492.8,-41.32374192
365820,2837492.8,-41.40209234
365860,2837492.8,-41.47384119
365900,2837492.8,-41.52265023
365940,2837492.8,-41.56616163
365980,2837492.8,-41.5819749
366020,2837492.8,-41.55929006
366060,2837492.8,-41.53813214
366100,2837492.8,-41.58896244
366140,2837492.8,-41.71709229
366180,2837492.8,-41.85600554
366220,2837492.8,-41.95726065
366260,2837492.8,-42.00663322
366300,2837492.8,-42.07004625
366340,2837492.8,-42.19537596
366380,2837492.8,-42.3476754
366420,2837492.8,-42.46592442
366460,2837492.8,-42.5064622
366500,2837492.8,-42.56357851
366540,2837492.8,-42.67076857
366580,2837492.8,-42.80166364
366620,2837492.8,-42.93166854
365020,2837651,-40.55596152
365060,2837651,-40.55205445
365100,2837651,-40.56195188
365140,2837651,-40.59363137
365180,2837651,-40.64560807
365220,2837651,-40.70287215
365260,2837651,-40.76140992
365300,2837651,-40.81482572
365340,2837651,-40.86586752
365380,2837651,-40.91144991
365420,2837651,-40.94771598
365460,2837651,-40.97944152
365500,2837651,-40.99398903
365540,2837651,-41.00175298
365580,2837651,-41.01417535
365620,2837651,-41.05358882
365660,2837651,-41.10274213
365700,2837651,-41.16506798
365740,2837651,-41.22666545
365780,2837651,-41.29161285
365820,2837651,-41.37007002
365860,2837651,-41.43639412
365900,2837651,-41.49956923
365940,2837651,-41.56339462
365980,2837651,-41.57203187
366020,2837651,-41.57385952
366060,2837651,-41.59497125
366100,2837651,-41.6582761
366140,2837651,-41.76387005
366180,2837651,-41.87397812
366220,2837651,-41.95957347
366260,2837651,-41.99522921
366300,2837651,-42.02353967
366340,2837651,-42.11426067
366380,2837651,-42.25841941
366420,2837651,-42.41177356
366460,2837651,-42.48302687
366500,2837651,-42.51327175
366540,2837651,-42.56268994
366580,2837651,-42.65718929
366620,2837651,-42.76855279
365020,2837809.2,-40.57254757
365060,2837809.2,-40.55558108
365100,2837809.2,-40.5337467
365140,2837809.2,-40.51984236
365180,2837809.2,-40.54847269
365220,2837809.2,-40.60379325
365260,2837809.2,-40.66573564
365300,2837809.2,-40.72911041
365340,2837809.2,-40.7955021
365380,2837809.2,-40.85446403
365420,2837809.2,-40.90911109
365460,2837809.2,-40.94929264
365500,2837809.2,-40.98032796
365540,2837809.2,-40.99868011
365580,2837809.2,-41.01099456
365620,2837809.2,-41.0510825
365660,2837809.2,-41.11264485
365700,2837809.2,-41.17950214
365740,2837809.2,-41.26539676
365780,2837809.2,-41.33846231
365820,2837809.2,-41.41086219
365860,2837809.2,-41.46471573
365900,2837809.2,-41.50744824
365940,2837809.2,-41.53966438
365980,2837809.2,-41.53849362
366020,2837809.2,-41.60020869
366060,2837809.2,-41.7192386
366100,2837809.2,-41.81788449
366140,2837809.2,-41.89799142
366180,2837809.2,-41.95967777
366220,2837809.2,-42.00855845
366260,2837809.2,-42.06391318
366300,2837809.2,-42.13374849
366340,2837809.2,-42.24105873
366380,2837809.2,-42.3743098
366420,2837809.2,-42.46937684
366460,2837809.2,-42.50815167
366500,2837809.2,-42.51536167
366540,2837809.2,-42.52552689
366580,2837809.2,-42.58201948
366620,2837809.2,-42.67106814
365020,2837967.4,-40.57200613
365060,2837967.4,-40.55571331
365100,2837967.4,-40.53635495
365140,2837967.4,-40.51980842
365180,2837967.4,-40.52120407
365220,2837967.4,-40.55306318
365260,2837967.4,-40.60610967
365300,2837967.4,-40.66932901
365340,2837967.4,-40.73627484
365380,2837967.4,-40.80759947
365420,2837967.4,-40.8704603
365460,2837967.4,-40.93078263
365500,2837967.4,-40.96980594
365540,2837967.4,-40.99724989
365580,2837967.4,-41.0065867
365620,2837967.4,-41.01151442
365660,2837967.4,-41.07818884
365700,2837967.4,-41.18558404
365740,2837967.4,-41.29937564
365780,2837967.4,-41.39730206
365820,2837967.4,-41.46735645
365860,2837967.4,-41.50419227
365900,2837967.4,-41.52635813
365940,2837967.4,-41.57231202
365980,2837967.4,-41.67075926
366020,2837967.4,-41.80127792
366060,2837967.4,-41.91438263
366100,2837967.4,-41.97764722
366140,2837967.4,-41.98906092
366180,2837967.4,-42.035607
366220,2837967.4,-42.11644752
366260,2837967.4,-42.21863554
366300,2837967.4,-42.31812195
366340,2837967.4,-42.41153724
366380,2837967.4,-42.47570118
366420,2837967.4,-42.50845092
366460,2837967.4,-42.51359687
366500,2837967.4,-42.50951229
366540,2837967.4,-42.53255124
366580,2837967.4,-42.62136706
366620,2837967.4,-42.75056645
365020,2838125.6,-40.58518213
365060,2838125.6,-40.57178161
365100,2838125.6,-40.55526879
365140,2838125.6,-40.53664433
365180,2838125.6,-40.52188508
365220,2838125.6,-40.53370422
365260,2838125.6,-40.58414883
365300,2838125.6,-40.66114038
365340,2838125.6,-40.73710694
365380,2838125.6,-40.80874391
365420,2838125.6,-40.87594362
365460,2838125.6,-40.93275885
365500,2838125.6,-40.97592796
365540,2838125.6,-41.00236124
365580,2838125.6,-41.0210746
365620,2838125.6,-41.07775074
365660,2838125.6,-41.18431186
365700,2838125.6,-41.30003397
365740,2838125.6,-41.40225965
365780,2838125.6,-41.47048014
365820,2838125.6,-41.50010738
365860,2838125.6,-41.53928776
365900,2838125.6,-41.61887711
365940,2838125.6,-41.72012573
365980,2838125.6,-41.84024717
366020,2838125.6,-41.93859943
366060,2838125.6,-41.98526445
366100,2838125.6,-41.99219424
366140,2838125.6,-42.01794029
366180,2838125.6,-42.09616846
366220,2838125.6,-42.18874377
366260,2838125.6,-42.3063053
366300,2838125.6,-42.40750998
366340,2838125.6,-42.47167405
366380,2838125.6,-42.49958303
366420,2838125.6,-42.52439493
366460,2838125.6,-42.57324766
366500,2838125.6,-42.64824855
366540,2838125.6,-42.74389752
366580,2838125.6,-42.84722494
366620,2838125.6,-42.93077894
365020,2838283.8,-40.60776316
365060,2838283.8,-40.59486547
365100,2838283.8,-40.57469041
365140,2838283.8,-40.54334823
365180,2838283.8,-40.51370486
365220,2838283.8,-40.53800867
365260,2838283.8,-40.61224595
365300,2838283.8,-40.70338324
365340,2838283.8,-40.79515839
365380,2838283.8,-40.87463871
365420,2838283.8,-40.93227665
365460,2838283.8,-40.97156974
365500,2838283.8,-40.99352113
