x,y,data
373360,2838120,73.718279
370380,2836000,70.130811
366800,2837480,69.938746
366200,2841080,18.34312
372760,2841720,16.221996
369780,2839600,11.938422
371560,2848920,9.405869
369180,2843200,1.619145
365600,2844680,0
365000,2848280,-4.812059
372160,2845320,-5.18103
368580,2846800,-15.077784
367980,2850400,-19.241895
367380,2854000,-31.842757
370960,2852520,-46.157563
373940,2854640,-50
373360,2838140,75.242204
370380,2836020,70.175503
366800,2837500,69.948224
371560,2848940,26.244723
372760,2841740,17.138616
366200,2841100,16.87392
369780,2839620,7.02384
369180,2843220,0.452037
365600,2844700,0
372160,2845340,-3.524842
365000,2848300,-4.822637
368580,2846820,-12.575866
367980,2850420,-19.17073
367380,2854020,-33.777328
370960,2852540,-47.421802
373940,2854660,-50
373360,2838160,74.820575
370380,2836040,70.182904
366800,2837520,69.910378
371560,2848960,33.731713
366200,2841120,16.471481
372760,2841760,15.871404
369780,2839640,1.450806
369180,2843240,1.266697
365600,2844720,0
365000,2848320,-4.833462
372160,2845360,-7.372153
368580,2846840,-17.41317
367980,2850440,-19.213395
367380,2854040,-36.225622
370960,2852560,-49.967433
373940,2854680,-50
373360,2838180,74.362549
370380,2836060,70.194291
366800,2837540,69.910095
371560,2848980,38.693261
372760,2841780,16.747077
366200,2841140,16.517254
369180,2843260,2.72523
365600,2844740,0
369780,2839660,-0.932328
365000,2848340,-4.844542
372160,2845380,-10.148237
368580,2846860,-18.21998
367980,2850460,-18.974645
367380,2854060,-37.957921
373940,2854700,-50
370960,2852580,-50.085103
373360,2838200,74.461759
370380,2836080,70.211674
366800,2837560,69.876796
371560,2849000,46.373468
366200,2841160,16.306209
372760,2841800,15.210052
369180,2843280,3.608114
365600,2844760,0
365000,2848360,-4.855878
369780,2839680,-5.248401
372160,2845400,-8.654866
368580,2846880,-14.357872
367980,2850480,-18.89944
367380,2854080,-38.633482
373940,2854720,-50
370960,2852600,-52.058502
373360,2838220,74.026151
370380,2836100,70.235807
366800,2837580,69.868421
371560,2849020,53.756148
366200,2841180,16.427255
