x,y,data
30,30,3.57E-06
30,30.52631579,3.81E-06
30,31.05263158,4.07E-06
30,31.57894737,4.35E-06
30,32.10526316,4.63E-06
30,32.63157895,4.92E-06
30,33.15789474,5.18E-06
30,33.68421053,5.41E-06
30,34.21052632,5.58E-06
30,34.73684211,5.68E-06
30,35.26315789,5.69E-06
30,35.78947368,5.63E-06
30,36.31578947,5.49E-06
30,36.84210526,5.28E-06
30,37.36842105,5.03E-06
30,37.89473684,4.74E-06
30,38.42105263,4.46E-06
30,38.94736842,4.17E-06
30,39.47368421,3.91E-06
30,40,3.66E-06
30.52631579,30,3.74E-06
30.52631579,30.52631579,4.02E-06
30.52631579,31.05263158,4.33E-06
30.52631579,31.57894737,4.66E-06
30.52631579,32.10526316,5.02E-06
30.52631579,32.63157895,5.38E-06
30.52631579,33.15789474,5.72E-06
30.52631579,33.68421053,6.02E-06
30.52631579,34.21052632,6.24E-06
30.52631579,34.73684211,6.37E-06
30.52631579,35.26315789,6.39E-06
30.52631579,35.78947368,6.30E-06
30.52631579,36.31578947,6.10E-06
30.52631579,36.84210526,5.83E-06
30.52631579,37.36842105,5.49E-06
30.52631579,37.89473684,5.13E-06
30.52631579,38.42105263,4.76E-06
30.52631579,38.94736842,4.42E-06
30.52631579,39.47368421,4.10E-06
30.52631579,40,3.82E-06
31.05263158,30,3.91E-06
31.05263158,30.52631579,4.23E-06
31.05263158,31.05263158,4.60E-06
31.05263158,31.57894737,5.01E-06
31.05263158,32.10526316,5.45E-06
31.05263158,32.63157895,5.93E-06
31.05263158,33.15789474,6.39E-06
31.05263158,33.68421053,6.79E-06
31.05263158,34.21052632,7.09E-06
31.05263158,34.73684211,7.26E-06
31.05263158,35.26315789,7.28E-06
31.05263158,35.78947368,7.16E-06
31.05263158,36.31578947,6.89E-06
31.05263158,36.84210526,6.50E-06
31.05263158,37.36842105,6.04E-06
31.05263158,37.89473684,5.56E-06
31.05263158,38.42105263,5.10E-06
31.05263158,38.94736842,4.68E-06
31.05263158,39.47368421,4.31E-06
31.05263158,40,3.98E-06
31.57894737,30,4.08E-06
31.57894737,30.52631579,4.45E-06
31.57894737,31.05263158,4.88E-06
31.57894737,31.57894737,5.38E-06
31.57894737,32.10526316,5.96E-06
31.57894737,32.63157895,6.60E-06
31.57894737,33.15789474,7.25E-06
31.57894737,33.68421053,7.82E-06
31.57894737,34.21052632,8.23E-06
31.57894737,34.73684211,8.46E-06
31.57894737,35.26315789,8.48E-06
31.57894737,35.78947368,8.30E-06
31.57894737,36.31578947,7.92E-06
31.57894737,36.84210526,7.36E-06
31.57894737,37.36842105,6.71E-06
31.57894737,37.89473684,6.06E-06
31.57894737,38.42105263,5.47E-06
31.57894737,38.94736842,4.96E-06
31.57894737,39.47368421,4.52E-06
31.57894737,40,4.14E-06
32.10526316,30,4.25E-06
32.10526316,30.52631579,4.67E-06
32.10526316,31.05263158,5.18E-06
32.10526316,31.57894737,5.79E-06
32.10526316,32.10526316,6.54E-06
32.10526316,32.63157895,7.44E-06
32.10526316,33.15789474,8.43E-06
32.10526316,33.68421053,9.30E-06
32.10526316,34.21052632,9.89E-06
32.10526316,34.73684211,1.02E-05
32.10526316,35.26315789,1.02E-05
32.10526316,35.78947368,9.96E-06
32.10526316,36.31578947,9.40E-06
32.10526316,36.84210526,8.55E-06
32.10526316,37.36842105,7.54E-06
32.10526316,37.89473684,6.62E-06
32.10526316,38.42105263,5.86E-06
32.10526316,38.94736842,5.23E-06
32.10526316,39.47368421,4.72E-06
32.10526316,40,4.29E-06
32.63157895,30,4.41E-06
32.63157895,30.52631579,4.88E-06
32.63157895,31.05263158,5.47E-06
32.63157895,31.57894737,6.21E-06
32.63157895,32.10526316,7.18E-06
32.63157895,32.63157895,8.55E-06
32.63157895,33.15789474,1.05E-05
32.63157895,33.68421053,1.20E-05
32.63157895,34.21052632,1.29E-05
32.63157895,34.73684211,1.33E-05
32.63157895,35.26315789,1.33E-05
32.63157895,35.78947368,1.30E-05
32.63157895,36.31578947,1.22E-05
32.63157895,36.84210526,1.07E-05
32.63157895,37.36842105,8.62E-06
32.63157895,37.89473684,7.23E-06
32.63157895,38.42105263,6.25E-06
32.63157895,38.94736842,5.50E-06
32.63157895,39.47368421,4.91E-06
32.63157895,40,4.43E-06
33.15789474,30,4.54E-06
33.15789474,30.52631579,5.07E-06
33.15789474,31.05263158,5.73E-06
33.15789474,31.57894737,6.60E-06
33.15789474,32.10526316,7.83E-06
33.15789474,32.63157895,9.95E-06
33.15789474,33.15789474,0.001265897
33.15789474,33.68421053,0.001269423
33.15789474,34.21052632,0.001270464
33.15789474,34.73684211,0.001271138
33.15789474,35.26315789,0.001271149
33.15789474,35.78947368,0.001270415
33.15789474,36.31578947,0.001269293
33.15789474,36.84210526,0.001265756
33.15789474,37.36842105,9.97E-06
33.15789474,37.89473684,7.85E-06
33.15789474,38.42105263,6.62E-06
33.15789474,38.94736842,5.75E-06
33.15789474,39.47368421,5.08E-06
33.15789474,40,4.55E-06
33.68421053,30,4.65E-06
33.68421053,30.52631579,5.22E-06
33.68421053,31.05263158,5.95E-06
33.68421053,31.57894737,6.94E-06
33.68421053,32.10526316,8.39E-06
33.68421053,32.63157895,1.11E-05
33.68421053,33.15789474,0.00126962
33.68421053,33.68421053,0.001274195
33.68421053,34.21052632,0.00127554
33.68421053,34.73684211,0.001276313
33.68421053,35.26315789,0.001276251
33.68421053,35.78947368,0.001275522
33.68421053,36.31578947,0.00127408
33.68421053,36.84210526,0.001269602
33.68421053,37.36842105,1.11E-05
33.68421053,37.89473684,8.39E-06
33.68421053,38.42105263,6.94E-06
33.68421053,38.94736842,5.95E-06
33.68421053,39.47368421,5.22E-06
33.68421053,40,4.65E-06
34.21052632,30,4.73E-06
34.21052632,30.52631579,5.33E-06
34.21052632,31.05263158,6.11E-06
34.21052632,31.57894737,7.19E-06
34.21052632,32.10526316,8.79E-06
34.21052632,32.63157895,1.18E-05
34.21052632,33.15789474,0.001270789
34.21052632,33.68421053,0.00127568
34.21052632,34.21052632,0.001277151
34.21052632,34.73684211,0.001277933
34.21052632,35.26315789,0.001277901
34.21052632,35.78947368,0.0012771
34.21052632,36.31578947,0.001275625
34.21052632,36.84210526,0.001270671
34.21052632,37.36842105,1.17E-05
34.21052632,37.89473684,8.77E-06
34.21052632,38.42105263,7.17E-06
34.21052632,38.94736842,6.10E-06
34.21052632,39.47368421,5.32E-06
34.21052632,40,4.72E-06
34.73684211,30,4.77E-06
34.73684211,30.52631579,5.39E-06
34.73684211,31.05263158,6.20E-06
34.73684211,31.57894737,7.31E-06
34.73684211,32.10526316,8.99E-06
34.73684211,32.63157895,1.21E-05
34.73684211,33.15789474,0.001271319
34.73684211,33.68421053,0.001276377
34.73684211,34.21052632,0.001277952
34.73684211,34.73684211,0.001278702
34.73684211,35.26315789,0.001278691
34.73684211,35.78947368,0.001277915
34.73684211,36.31578947,0.001276292
34.73684211,36.84210526,0.001271314
34.73684211,37.36842105,1.20E-05
34.73684211,37.89473684,8.96E-06
34.73684211,38.42105263,7.29E-06
34.73684211,38.94736842,6.17E-06
34.73684211,39.47368421,5.37E-06
34.73684211,40,4.76E-06
35.26315789,30,4.77E-06
35.26315789,30.52631579,5.39E-06
35.26315789,31.05263158,6.20E-06
35.26315789,31.57894737,7.31E-06
35.26315789,32.10526316,8.99E-06
35.26315789,32.63157895,1.21E-05
35.26315789,33.15789474,0.001271319
35.26315789,33.68421053,0.001276377
35.26315789,34.21052632,0.001277952
35.26315789,34.73684211,0.001278702
35.26315789,35.26315789,0.001278691
35.26315789,35.78947368,0.001277915
35.26315789,36.31578947,0.001276292
35.26315789,36.84210526,0.001271314
35.26315789,37.36842105,1.20E-05
35.26315789,37.89473684,8.96E-06
35.26315789,38.42105263,7.29E-06
35.26315789,38.94736842,6.17E-06
35.26315789,39.47368421,5.37E-06
35.26315789,40,4.76E-06
35.78947368,30,4.73E-06
35.78947368,30.52631579,5.33E-06
35.78947368,31.05263158,6.11E-06
35.78947368,31.57894737,7.19E-06
35.78947368,32.10526316,8.79E-06
35.78947368,32.63157895,1.18E-05
35.78947368,33.15789474,0.001270789
35.78947368,33.68421053,0.00127568
35.78947368,34.21052632,0.001277151
35.78947368,34.73684211,0.001277933
35.78947368,35.26315789,0.001277901
35.78947368,35.78947368,0.0012771
35.78947368,36.31578947,0.001275625
35.78947368,36.84210526,0.001270671
35.78947368,37.36842105,1.17E-05
35.78947368,37.89473684,8.77E-06
35.78947368,38.42105263,7.17E-06
35.78947368,38.94736842,6.10E-06
35.78947368,39.47368421,5.32E-06
35.78947368,40,4.72E-06
36.31578947,30,4.65E-06
36.31578947,30.52631579,5.22E-06
36.31578947,31.05263158,5.95E-06
36.31578947,31.57894737,6.94E-06
36.31578947,32.10526316,8.39E-06
36.31578947,32.63157895,1.11E-05
36.31578947,33.15789474,0.00126962
36.31578947,33.68421053,0.001274195
36.31578947,34.21052632,0.00127554
36.31578947,34.73684211,0.001276313
36.31578947,35.26315789,0.001276251
36.31578947,35.78947368,0.001275522
36.31578947,36.31578947,0.00127408
36.31578947,36.84210526,0.001269602
36.31578947,37.36842105,1.11E-05
36.31578947,37.89473684,8.39E-06
36.31578947,38.42105263,6.94E-06
36.31578947,38.94736842,5.95E-06
36.31578947,39.47368421,5.22E-06
36.31578947,40,4.65E-06
36.84210526,30,4.54E-06
36.84210526,30.52631579,5.07E-06
36.84210526,31.05263158,5.73E-06
36.84210526,31.57894737,6.60E-06
36.84210526,32.10526316,7.83E-06
36.84210526,32.63157895,9.95E-06
36.84210526,33.15789474,0.001265897
36.84210526,33.68421053,0.001269423
36.84210526,34.21052632,0.001270464
36.84210526,34.73684211,0.001271138
36.84210526,35.26315789,0.001271149
36.84210526,35.78947368,0.001270415
36.84210526,36.31578947,0.001269293
36.84210526,36.84210526,0.001265756
36.84210526,37.36842105,9.97E-06
36.84210526,37.89473684,7.85E-06
36.84210526,38.42105263,6.62E-06
36.84210526,38.94736842,5.75E-06
36.84210526,39.47368421,5.08E-06
36.84210526,40,4.55E-06
37.36842105,30,4.41E-06
37.36842105,30.52631579,4.88E-06
37.36842105,31.05263158,5.47E-06
37.36842105,31.57894737,6.21E-06
37.36842105,32.10526316,7.18E-06
37.36842105,32.63157895,8.55E-06
37.36842105,33.15789474,1.05E-05
37.36842105,33.68421053,1.20E-05
37.36842105,34.21052632,1.29E-05
37.36842105,34.73684211,1.33E-05
37.36842105,35.26315789,1.33E-05
37.36842105,35.78947368,1.30E-05
37.36842105,36.31578947,1.22E-05
37.36842105,36.84210526,1.07E-05
37.36842105,37.36842105,8.62E-06
37.36842105,37.89473684,7.23E-06
37.36842105,38.42105263,6.25E-06
37.36842105,38.94736842,5.50E-06
37.36842105,39.47368421,4.91E-06
37.36842105,40,4.43E-06
37.89473684,30,4.25E-06
37.89473684,30.52631579,4.67E-06
37.89473684,31.05263158,5.18E-06
37.89473684,31.57894737,5.79E-06
37.89473684,32.10526316,6.54E-06
37.89473684,32.63157895,7.44E-06
37.89473684,33.15789474,8.43E-06
37.89473684,33.68421053,9.30E-06
37.89473684,34.21052632,9.89E-06
37.89473684,34.73684211,1.02E-05
37.89473684,35.26315789,1.02E-05
37.89473684,35.78947368,9.96E-06
37.89473684,36.31578947,9.40E-06
37.89473684,36.84210526,8.55E-06
37.89473684,37.36842105,7.54E-06
37.89473684,37.89473684,6.62E-06
37.89473684,38.42105263,5.86E-06
37.89473684,38.94736842,5.23E-06
37.89473684,39.47368421,4.72E-06
37.89473684,40,4.29E-06
38.42105263,30,4.08E-06
38.42105263,30.52631579,4.45E-06
38.42105263,31.05263158,4.88E-06
38.42105263,31.57894737,5.38E-06
38.42105263,32.10526316,5.96E-06
38.42105263,32.63157895,6.60E-06
38.42105263,33.15789474,7.25E-06
38.42105263,33.68421053,7.82E-06
38.42105263,34.21052632,8.23E-06
38.42105263,34.73684211,8.46E-06
38.42105263,35.26315789,8.48E-06
38.42105263,35.78947368,8.30E-06
38.42105263,36.31578947,7.92E-06
38.42105263,36.84210526,7.36E-06
38.42105263,37.36842105,6.71E-06
38.42105263,37.89473684,6.06E-06
38.42105263,38.42105263,5.47E-06
38.42105263,38.94736842,4.96E-06
38.42105263,39.47368421,4.52E-06
38.42105263,40,4.14E-06
38.94736842,30,3.91E-06
38.94736842,30.52631579,4.23E-06
38.94736842,31.05263158,4.60E-06
38.94736842,31.57894737,5.01E-06
38.94736842,32.10526316,5.45E-06
38.94736842,32.63157895,5.93E-06
38.94736842,33.15789474,6.39E-06
38.94736842,33.68421053,6.79E-06
38.94736842,34.21052632,7.09E-06
38.94736842,34.73684211,7.26E-06
38.94736842,35.26315789,7.28E-06
38.94736842,35.78947368,7.16E-06
38.94736842,36.31578947,6.89E-06
38.94736842,36.84210526,6.50E-06
38.94736842,37.36842105,6.04E-06
38.94736842,37.89473684,5.56E-06
38.94736842,38.42105263,5.10E-06
38.94736842,38.94736842,4.68E-06
38.94736842,39.47368421,4.31E-06
38.94736842,40,3.98E-06
39.47368421,30,3.74E-06
39.47368421,30.52631579,4.02E-06
39.47368421,31.05263158,4.33E-06
39.47368421,31.57894737,4.66E-06
39.47368421,32.10526316,5.02E-06
39.47368421,32.63157895,5.38E-06
39.47368421,33.15789474,5.72E-06
39.47368421,33.68421053,6.02E-06
39.47368421,34.21052632,6.24E-06
39.47368421,34.73684211,6.37E-06
39.47368421,35.26315789,6.39E-06
39.47368421,35.78947368,6.30E-06
39.47368421,36.31578947,6.10E-06
39.47368421,36.84210526,5.83E-06
39.47368421,37.36842105,5.49E-06
39.47368421,37.89473684,5.13E-06
39.47368421,38.42105263,4.76E-06
39.47368421,38.94736842,4.42E-06
39.47368421,39.47368421,4.10E-06
39.47368421,40,3.82E-06
40,30,3.57E-06
40,30.52631579,3.81E-06
40,31.05263158,4.07E-06
40,31.57894737,4.35E-06
40,32.10526316,4.63E-06
40,32.63157895,4.92E-06
40,33.15789474,5.18E-06
40,33.68421053,5.41E-06
40,34.21052632,5.58E-06
40,34.73684211,5.68E-06
40,35.26315789,5.69E-06
40,35.78947368,5.63E-06
40,36.31578947,5.49E-06
40,36.84210526,5.28E-06
40,37.36842105,5.03E-06
40,37.89473684,4.74E-06
40,38.42105263,4.46E-06
40,38.94736842,4.17E-06
40,39.47368421,3.91E-06
40,40,3.66E-06
