%% x, y, z, Ex.real, Ex.imag, Ey.real, Ey.imag, Ez.real, Ez.imag, Hx.real, Hx.imag, Hy.real, Hy.imag, Hz.real, Hz.imag 
-7.500000e+02 , 4.000000e+02 , 5.000000e+01 , 7.409537e-08 , -5.450037e-09 , 5.039216e-08 , -4.503932e-09 , 8.546800e-08 , -2.626646e-10 , -9.066507e-08 , 7.306346e-09 , 1.275921e-07 , -9.407383e-09 , 6.643918e-09 , -1.809015e-09
-7.500000e+02 , 4.000000e+02 , 1.500000e+02 , 8.556992e-08 , -1.010235e-08 , 5.960469e-08 , -7.794902e-09 , 7.604808e-09 , -1.024060e-10 , -6.032570e-08 , 4.411580e-09 , 8.600631e-08 , -5.972036e-09 , 6.253572e-09 , -2.020694e-09
-7.500000e+02 , 4.000000e+02 , 2.500000e+02 , 8.685635e-08 , -1.193432e-08 , 6.065577e-08 , -9.063862e-09 , 2.036836e-09 , 1.807048e-13 , -2.513593e-09 , -3.173518e-09 , 4.994686e-09 , 3.686223e-09 , 5.705336e-09 , -2.038055e-09
-7.500000e+02 , 4.000000e+02 , 3.500000e+02 , 8.594122e-08 , -1.085428e-08 , 6.014165e-08 , -8.254613e-09 , -3.072853e-08 , 3.183077e-09 , 2.665871e-08 , -6.799586e-09 , -3.517856e-08 , 8.237511e-09 , 5.058884e-09 , -1.882471e-09
-7.500000e+02 , 4.000000e+02 , 4.500000e+02 , 8.276530e-08 , -9.329693e-09 , 5.801476e-08 , -7.097595e-09 , -3.602918e-08 , 3.319351e-09 , 2.659435e-08 , -6.102163e-09 , -3.380989e-08 , 7.152011e-09 , 4.322089e-09 , -1.727114e-09
-7.500000e+02 , 4.000000e+02 , 5.500000e+02 , 6.028891e-08 , -7.104677e-09 , 4.213690e-08 , -5.447758e-09 , -3.868447e-07 , 3.372567e-08 , 2.591020e-08 , -5.335150e-09 , -3.185644e-08 , 6.020873e-09 , 3.542532e-09 , -1.604649e-09
-7.500000e+02 , 4.000000e+02 , 6.500000e+02 , 1.889570e-08 , -4.234423e-09 , 1.281345e-08 , -3.352766e-09 , -3.890173e-07 , 3.380369e-08 , 2.462328e-08 , -4.508854e-09 , -2.930288e-08 , 4.839466e-09 , 2.759254e-09 , -1.522027e-09
-7.500000e+02 , 4.000000e+02 , 7.500000e+02 , -1.922498e-09 , -2.282107e-09 , -1.918500e-09 , -1.851242e-09 , -3.356059e-09 , 3.374030e-10 , 2.323672e-08 , -4.084236e-09 , -2.696353e-08 , 4.162515e-09 , 1.997059e-09 , -1.477772e-09
-7.500000e+02 , 4.000000e+02 , 8.500000e+02 , -2.109933e-09 , -1.239929e-09 , -2.005185e-09 , -9.488157e-10 , -3.238399e-09 , 3.839865e-10 , 2.180144e-08 , -3.804929e-09 , -2.484191e-08 , 3.677510e-09 , 1.278908e-09 , -1.453051e-09
-7.500000e+02 , 4.000000e+02 , 9.500000e+02 , -2.121090e-09 , -3.840102e-10 , -1.966979e-09 , -1.994654e-10 , -5.783306e-11 , 1.005523e-11 , 1.097807e-08 , -4.873612e-09 , -1.279187e-08 , 5.476120e-09 , 6.723124e-10 , -1.414537e-09
-7.500000e+02 , 4.000000e+02 , 1.050000e+03 , -1.903734e-09 , -1.933006e-10 , -1.783698e-09 , -5.445455e-11 , -1.230094e-09 , 3.628417e-10 , 1.155977e-09 , -4.783761e-09 , -1.972314e-09 , 5.923574e-09 , 4.999690e-10 , -1.212469e-09
-2.500000e+02 , 4.000000e+02 , 5.000000e+01 , 8.923927e-09 , -4.793460e-09 , 1.617840e-07 , -2.907911e-09 , 2.832908e-07 , -7.763956e-10 , -3.478735e-07 , 1.504272e-08 , 7.148070e-08 , -7.165767e-09 , -5.468973e-08 , 8.177621e-09
-2.500000e+02 , 4.000000e+02 , 1.500000e+02 , 3.720517e-08 , -7.326365e-09 , 2.274942e-07 , -1.584539e-08 , 2.557571e-08 , -3.352059e-10 , -2.486365e-07 , 1.153485e-08 , 4.419489e-08 , -3.952097e-09 , -5.017533e-08 , 9.540712e-09
-2.500000e+02 , 4.000000e+02 , 2.500000e+02 , 3.995597e-08 , -8.220052e-09 , 2.331720e-07 , -2.159016e-08 , 7.405494e-09 , -1.006597e-10 , -3.915868e-08 , -4.197471e-09 , -5.964999e-10 , 3.450813e-09 , -4.326477e-08 , 9.464139e-09
-2.500000e+02 , 4.000000e+02 , 3.500000e+02 , 3.782791e-08 , -7.400447e-09 , 2.221340e-07 , -1.944487e-08 , -5.730001e-08 , 4.429173e-09 , 6.378808e-08 , -1.201322e-08 , -2.494729e-08 , 6.994507e-09 , -3.555461e-08 , 8.199528e-09
-2.500000e+02 , 4.000000e+02 , 4.500000e+02 , 3.325110e-08 , -6.171006e-09 , 2.016433e-07 , -1.618780e-08 , -6.059062e-08 , 4.290082e-09 , 5.699456e-08 , -9.830399e-09 , -2.777068e-08 , 6.431046e-09 , -2.804039e-08 , 7.054487e-09
-2.500000e+02 , 4.000000e+02 , 5.500000e+02 , 2.234095e-08 , -4.821113e-09 , 1.425816e-07 , -1.189629e-08 , -5.903456e-07 , 4.077298e-08 , 5.029990e-08 , -7.775053e-09 , -2.874366e-08 , 5.686475e-09 , -2.135200e-08 , 6.228404e-09
-2.500000e+02 , 4.000000e+02 , 6.500000e+02 , 5.300656e-09 , -3.409707e-09 , 4.507079e-08 , -6.582259e-09 , -5.857356e-07 , 4.052769e-08 , 4.324931e-08 , -5.759219e-09 , -2.852065e-08 , 4.827640e-09 , -1.567591e-08 , 5.725243e-09
-2.500000e+02 , 4.000000e+02 , 7.500000e+02 , -2.587330e-09 , -2.182105e-09 , -1.948262e-09 , -3.312153e-09 , -4.954626e-09 , 4.099061e-10 , 3.780791e-08 , -4.542307e-09 , -2.754473e-08 , 4.404032e-09 , -1.093973e-08 , 5.509555e-09
-2.500000e+02 , 4.000000e+02 , 8.500000e+02 , -2.518147e-09 , -1.120679e-09 , -2.461538e-09 , -1.870613e-09 , -4.674955e-09 , 4.722775e-10 , 3.358774e-08 , -3.630725e-09 , -2.614438e-08 , 4.134352e-09 , -7.006927e-09 , 5.466722e-09
-2.500000e+02 , 4.000000e+02 , 9.500000e+02 , -2.388363e-09 , -2.283475e-10 , -2.613696e-09 , -7.145221e-10 , -8.295207e-11 , 1.293509e-11 , 1.774514e-08 , -6.724457e-09 , -1.320997e-08 , 5.432223e-09 , -3.928305e-09 , 5.408218e-09
-2.500000e+02 , 4.000000e+02 , 1.050000e+03 , -2.162762e-09 , -5.899154e-11 , -2.321873e-09 , -4.146289e-10 , -1.328614e-09 , 3.669876e-10 , 3.796174e-09 , -7.964027e-09 , -1.352426e-09 , 5.327865e-09 , -2.774135e-09 , 4.459854e-09
2.500000e+02 , 4.000000e+02 , 5.000000e+01 , -1.475857e-07 , -9.097768e-09 , 1.333340e-08 , 9.445418e-10 , 2.945489e-07 , -1.003223e-09 , -1.880282e-07 , 7.541140e-09 , -2.567648e-07 , 9.324779e-10 , -1.328178e-07 , 1.985984e-08
2.500000e+02 , 4.000000e+02 , 1.500000e+02 , -1.765499e-07 , 8.128239e-10 , 8.810146e-08 , -6.184312e-09 , 2.832353e-08 , -4.678555e-10 , -1.346558e-07 , 5.648258e-09 , -2.003771e-07 , 4.402091e-09 , -1.218543e-07 , 2.317021e-08
2.500000e+02 , 4.000000e+02 , 2.500000e+02 , -1.793030e-07 , 5.938794e-09 , 9.695080e-08 , -9.743273e-09 , 9.783197e-09 , -2.368759e-10 , -3.524635e-08 , -2.157028e-09 , -5.576969e-08 , 3.214365e-09 , -1.050714e-07 , 2.298427e-08
2.500000e+02 , 4.000000e+02 , 3.500000e+02 , -1.736503e-07 , 5.667748e-09 , 9.778554e-08 , -9.524480e-09 , -1.940823e-08 , 2.624697e-09 , 1.900627e-08 , -6.655960e-09 , 1.186765e-08 , 2.039936e-09 , -8.634674e-08 , 1.991310e-08
2.500000e+02 , 4.000000e+02 , 4.500000e+02 , -1.623495e-07 , 4.903545e-09 , 9.374878e-08 , -8.433333e-09 , -3.296011e-08 , 2.958619e-09 , 2.389598e-08 , -6.179763e-09 , 1.736761e-10 , 3.079046e-09 , -6.809791e-08 , 1.713231e-08
