%% x, y, z, Ex.real, Ex.imag, Ey.real, Ey.imag, Ez.real, Ez.imag, Hx.real, Hx.imag, Hy.real, Hy.imag, Hz.real, Hz.imag 
-7.500000e+02 , 4.000000e+02 , 5.000000e+01 , 7.408993e-08 , -5.403955e-09 , 5.019303e-08 , -4.459617e-09 , 8.548922e-08 , -2.634945e-10 , -9.039119e-08 , 7.267670e-09 , 1.278336e-07 , -9.399730e-09 , 6.518029e-09 , -1.787833e-09
-7.500000e+02 , 4.000000e+02 , 1.500000e+02 , 8.564119e-08 , -1.006631e-08 , 5.937267e-08 , -7.741656e-09 , 7.599960e-09 , -1.019366e-10 , -6.018049e-08 , 4.388643e-09 , 8.621414e-08 , -5.976093e-09 , 6.136996e-09 , -1.996051e-09
-7.500000e+02 , 4.000000e+02 , 2.500000e+02 , 8.693555e-08 , -1.190530e-08 , 6.041866e-08 , -9.009297e-09 , 2.033770e-09 , 5.211299e-13 , -2.597243e-09 , -3.150500e-09 , 5.129146e-09 , 3.653346e-09 , 5.602146e-09 , -2.013250e-09
-7.500000e+02 , 4.000000e+02 , 3.500000e+02 , 8.602242e-08 , -1.082967e-08 , 5.989925e-08 , -8.206671e-09 , -3.069473e-08 , 3.184686e-09 , 2.646521e-08 , -6.759424e-09 , -3.508234e-08 , 8.195981e-09 , 4.970303e-09 , -1.860199e-09
-7.500000e+02 , 4.000000e+02 , 4.500000e+02 , 8.284594e-08 , -9.308941e-09 , 5.777201e-08 , -7.057201e-09 , -3.597876e-08 , 3.320679e-09 , 2.641405e-08 , -6.071874e-09 , -3.371671e-08 , 7.117316e-09 , 4.248145e-09 , -1.707003e-09
-7.500000e+02 , 4.000000e+02 , 5.500000e+02 , 6.034893e-08 , -7.087887e-09 , 4.195439e-08 , -5.416756e-09 , -3.862396e-07 , 3.373826e-08 , 2.575071e-08 , -5.315540e-09 , -3.176717e-08 , 5.994059e-09 , 3.482046e-09 , -1.585760e-09
-7.500000e+02 , 4.000000e+02 , 6.500000e+02 , 1.891935e-08 , -4.221741e-09 , 1.275140e-08 , -3.332635e-09 , -3.884018e-07 , 3.381608e-08 , 2.448929e-08 , -4.500709e-09 , -2.921815e-08 , 4.821508e-09 , 2.711027e-09 , -1.503363e-09
-7.500000e+02 , 4.000000e+02 , 7.500000e+02 , -1.917300e-09 , -2.273084e-09 , -1.918105e-09 , -1.838578e-09 , -3.350747e-09 , 3.373642e-10 , 2.312677e-08 , -4.085136e-09 , -2.688525e-08 , 4.151726e-09 , 1.960067e-09 , -1.458391e-09
-7.500000e+02 , 4.000000e+02 , 8.500000e+02 , -2.105174e-09 , -1.233891e-09 , -2.003449e-09 , -9.401622e-10 , -3.233278e-09 , 3.838647e-10 , 2.171183e-08 , -3.815048e-09 , -2.477066e-08 , 3.674373e-09 , 1.252383e-09 , -1.432421e-09
-7.500000e+02 , 4.000000e+02 , 9.500000e+02 , -2.116481e-09 , -3.804931e-10 , -1.964310e-09 , -1.939651e-10 , -5.776021e-11 , 9.943757e-12 , 1.092592e-08 , -4.846409e-09 , -1.275937e-08 , 5.440587e-09 , 6.547881e-10 , -1.392986e-09
