%% x, y, z, Ex.real, Ex.imag, Ey.real, Ey.imag, Ez.real, Ez.imag, Hx.real, Hx.imag, Hy.real, Hy.imag, Hz.real, Hz.imag 
-7.500000e+02 , 4.000000e+02 , 5.000000e+01 , 7.406502e-08 , -5.445316e-09 , 5.034975e-08 , -4.497754e-09 , 8.548718e-08 , -2.614638e-10 , -9.062903e-08 , 7.300132e-09 , 1.275891e-07 , -9.422987e-09 , 6.637016e-09 , -1.807989e-09
-7.500000e+02 , 4.000000e+02 , 1.500000e+02 , 8.555141e-08 , -1.009760e-08 , 5.956344e-08 , -7.787463e-09 , 7.605736e-09 , -1.022490e-10 , -6.030696e-08 , 4.408161e-09 , 8.601078e-08 , -5.988965e-09 , 6.246718e-09 , -2.019479e-09
-7.500000e+02 , 4.000000e+02 , 2.500000e+02 , 8.683836e-08 , -1.193007e-08 , 6.061445e-08 , -9.056393e-09 , 2.037164e-09 , 1.866872e-13 , -2.530954e-09 , -3.169084e-09 , 5.014451e-09 , 3.664037e-09 , 5.698679e-09 , -2.036870e-09
-7.500000e+02 , 4.000000e+02 , 3.500000e+02 , 8.592322e-08 , -1.085102e-08 , 6.010104e-08 , -8.248372e-09 , -3.072806e-08 , 3.184248e-09 , 2.662531e-08 , -6.792565e-09 , -3.515285e-08 , 8.214621e-09 , 5.052589e-09 , -1.881519e-09
-7.500000e+02 , 4.000000e+02 , 4.500000e+02 , 8.274742e-08 , -9.327417e-09 , 5.797586e-08 , -7.092673e-09 , -3.602935e-08 , 3.320531e-09 , 2.656428e-08 , -6.095362e-09 , -3.378669e-08 , 7.129547e-09 , 4.316354e-09 , -1.726389e-09
-7.500000e+02 , 4.000000e+02 , 5.500000e+02 , 6.027606e-08 , -7.103486e-09 , 4.210880e-08 , -5.444269e-09 , -3.868504e-07 , 3.373760e-08 , 2.588341e-08 , -5.328494e-09 , -3.183579e-08 , 5.998822e-09 , 3.537523e-09 , -1.604094e-09
-7.500000e+02 , 4.000000e+02 , 6.500000e+02 , 1.889309e-08 , -4.234429e-09 , 1.280514e-08 , -3.350815e-09 , -3.890239e-07 , 3.381567e-08 , 2.459972e-08 , -4.502271e-09 , -2.928472e-08 , 4.817773e-09 , 2.755076e-09 , -1.521559e-09
-7.500000e+02 , 4.000000e+02 , 7.500000e+02 , -1.920228e-09 , -2.283008e-09 , -1.916981e-09 , -1.850440e-09 , -3.356143e-09 , 3.375099e-10 , 2.321600e-08 , -4.077494e-09 , -2.694800e-08 , 4.141334e-09 , 1.993748e-09 , -1.477292e-09
-7.500000e+02 , 4.000000e+02 , 8.500000e+02 , -2.108363e-09 , -1.241403e-09 , -2.003774e-09 , -9.487889e-10 , -3.238523e-09 , 3.840961e-10 , 2.178317e-08 , -3.798078e-09 , -2.482876e-08 , 3.657188e-09 , 1.276441e-09 , -1.452477e-09
-7.500000e+02 , 4.000000e+02 , 9.500000e+02 , -2.120153e-09 , -3.859192e-10 , -1.965738e-09 , -2.000637e-10 , -5.783525e-11 , 1.005681e-11 , 1.096787e-08 , -4.869255e-09 , -1.278560e-08 , 5.465734e-09 , 6.706027e-10 , -1.413862e-09
-7.500000e+02 , 4.000000e+02 , 1.050000e+03 , -1.902901e-09 , -1.953055e-10 , -1.782491e-09 , -5.520714e-11 , -1.229595e-09 , 3.604943e-10 , 1.152719e-09 , -4.782845e-09 , -1.971328e-09 , 5.923426e-09 , 4.987599e-10 , -1.212062e-09
-2.500000e+02 , 4.000000e+02 , 5.000000e+01 , 9.035960e-09 , -4.788992e-09 , 1.618683e-07 , -2.899324e-09 , 2.832299e-07 , -7.742934e-10 , -3.479345e-07 , 1.503665e-08 , 7.153236e-08 , -7.171664e-09 , -5.466834e-08 , 8.176664e-09
-2.500000e+02 , 4.000000e+02 , 1.500000e+02 , 3.721508e-08 , -7.318979e-09 , 2.275110e-07 , -1.583872e-08 , 2.555366e-08 , -3.343156e-10 , -2.486744e-07 , 1.153090e-08 , 4.423706e-08 , -3.959332e-09 , -5.016143e-08 , 9.539680e-09
-2.500000e+02 , 4.000000e+02 , 2.500000e+02 , 3.994685e-08 , -8.213248e-09 , 2.331803e-07 , -2.158466e-08 , 7.393359e-09 , -1.003047e-10 , -3.918440e-08 , -4.191945e-09 , -5.728318e-10 , 3.440179e-09 , -4.325861e-08 , 9.463232e-09
-2.500000e+02 , 4.000000e+02 , 3.500000e+02 , 3.780297e-08 , -7.394302e-09 , 2.221467e-07 , -1.944048e-08 , -5.731982e-08 , 4.430775e-09 , 6.376778e-08 , -1.200697e-08 , -2.493070e-08 , 6.983530e-09 , -3.555291e-08 , 8.198706e-09
