xcent,ycent,sigma_inv
9.000000,234.851318,4.625859
27.000000,239.099022,4.625859
45.000000,243.346726,4.625859
63.000000,247.544457,4.625859
81.000000,250.742728,4.625859
99.000000,253.641161,4.625859
117.000000,256.889405,4.625859
135.000000,259.438027,4.625859
153.000000,261.087136,4.625859
171.000000,260.937217,4.625859
189.000000,258.338621,4.625859
207.000000,256.089837,4.625859
225.000000,259.587946,4.625859
243.000000,266.084434,4.625859
261.000000,272.081193,4.625859
279.000000,277.878059,4.625859
297.000000,281.725979,4.625859
315.000000,283.275142,4.625859
333.000000,282.325655,4.625859
351.000000,279.677086,4.625859
369.000000,277.728140,4.625859
387.000000,278.077951,4.625859
405.000000,279.777033,4.625859
423.000000,285.623872,4.625859
441.000000,292.620090,4.625859
459.000000,296.418037,4.625859
477.000000,299.416416,4.625859
495.000000,300.915605,4.625859
513.000000,300.415876,4.625859
531.000000,298.716794,4.625859
549.000000,296.567956,4.625859
567.000000,293.969360,4.625859
585.000000,290.921009,4.625859
603.000000,287.173035,4.625859
621.000000,283.175196,4.625859
639.000000,279.727059,4.625859
657.000000,276.528788,4.625859
675.000000,273.030679,4.625859
693.000000,269.182759,4.625859
711.000000,265.684650,4.625859
729.000000,262.586325,4.625859
747.000000,259.138189,4.625859
765.000000,254.490702,4.625859
783.000000,248.743808,4.625859
801.000000,244.046347,4.625859
819.000000,242.647104,4.625859
837.000000,243.496645,4.625859
855.000000,244.795942,4.625859
873.000000,246.145213,4.625859
891.000000,246.894808,4.625859
909.000000,246.994754,4.625859
927.000000,246.395078,4.625859
945.000000,244.745970,4.625859
963.000000,242.347266,4.625859
981.000000,240.997996,4.625859
999.000000,240.748131,4.625859
1017.000000,240.348347,4.625859
1035.000000,240.048509,4.625859
1053.000000,239.948563,4.625859
1071.000000,240.498266,4.625859
1089.000000,242.197347,4.625859
1107.000000,244.596050,4.625859
1125.000000,245.745429,4.625859
1143.000000,246.095240,4.625859
1161.000000,246.894808,4.625859
1179.000000,248.194105,4.625859
1197.000000,249.443430,4.625859
1215.000000,249.593349,4.625859
1233.000000,250.093079,4.625859
1251.000000,251.642242,4.625859
1269.000000,252.691674,4.625859
1287.000000,254.840513,4.625859
1305.000000,258.438568,4.625859
1323.000000,260.537433,4.625859
1341.000000,261.187082,4.625859
1359.000000,262.186542,4.625859
1377.000000,263.685731,4.625859
1395.000000,264.585245,4.625859
1413.000000,264.885083,4.625859
1431.000000,264.135488,4.625859
1449.000000,261.536893,4.625859
1467.000000,259.687892,4.625859
1485.000000,259.737865,4.625859
1503.000000,258.888324,4.625859
1521.000000,257.988810,4.625859
1539.000000,257.539054,4.625859
1557.000000,256.339702,4.625859
1575.000000,254.340783,4.625859
1593.000000,251.292430,4.625859
1611.000000,247.944240,4.625859
1629.000000,245.295672,4.625859
1647.000000,243.996375,4.625859
1665.000000,243.546618,4.625859
1683.000000,243.246780,4.625859
1701.000000,243.146834,4.625859
1719.000000,243.046888,4.625859
1737.000000,242.896969,4.632086
1755.000000,242.797023,4.645642
1773.000000,242.797023,4.763262
1791.000000,243.346726,4.788607
1809.000000,244.895888,4.670463
1827.000000,247.444511,4.535431
1845.000000,250.093079,4.444697
1863.000000,252.391836,4.334647
1881.000000,254.840513,4.153041
1899.000000,257.239216,4.007340
1917.000000,259.138189,4.022092
1935.000000,260.487460,3.829814
1953.000000,261.386974,3.776651
1971.000000,262.086596,3.844537
1989.000000,262.686271,3.956617
2007.000000,263.186001,3.894901
2025.000000,263.835650,3.894901
2043.000000,265.084975,3.894901
2061.000000,266.334299,3.894901
2079.000000,266.684110,3.894901
2097.000000,265.834570,3.894901
2115.000000,264.485299,3.894901
2133.000000,264.185461,3.894901
2151.000000,264.285407,3.894901
2169.000000,262.086595,3.894901
2187.000000,257.339162,3.894901
2205.000000,253.791080,3.894901
2223.000000,252.941539,3.894901
2241.000000,253.491242,3.894901
2259.000000,253.491242,3.894901
2277.000000,252.591728,3.894901
2295.000000,252.841593,3.894901
2313.000000,253.341323,3.894901
2331.000000,251.142512,3.894901
2349.000000,247.094700,3.894901
2367.000000,245.545537,3.852217
2385.000000,246.145213,3.722149
2403.000000,247.444511,3.618220
2421.000000,250.492863,3.632179
2439.000000,252.341863,3.404830
2457.000000,251.242458,3.261133
2475.000000,249.793241,3.268670
2493.000000,249.393457,3.228664
2511.000000,249.493403,3.217972
2529.000000,249.693295,3.217972
2547.000000,249.943160,3.217972
2565.000000,250.292971,3.217972
2583.000000,250.642782,3.217972
2601.000000,250.992593,3.217972
2619.000000,251.342404,3.280097
2637.000000,251.692215,3.380869
2655.000000,252.191945,3.337857
2673.000000,252.591728,3.244729
2691.000000,252.791620,3.440307
2709.000000,252.991512,3.780380
2727.000000,253.691134,3.876914
2745.000000,253.990972,4.017853
2763.000000,253.891026,4.320603
2781.000000,254.240837,4.462749
2799.000000,254.740566,4.590142
2817.000000,255.240296,4.752726
2835.000000,255.789999,4.699387
2853.000000,256.589567,4.796132
2871.000000,257.289189,4.602744
2889.000000,257.738946,4.494468
2907.000000,258.038783,4.239658
2925.000000,258.138730,4.087658
2943.000000,258.338622,3.773278
2961.000000,258.888324,3.377128
2979.000000,259.537973,3.354056
2997.000000,260.187622,3.136563
3015.000000,260.937217,2.771607
3033.000000,261.436947,2.356218
3051.000000,261.486919,2.492199
3069.000000,261.586866,2.601695
3087.000000,261.736784,2.508951
3105.000000,262.036623,2.845460
3123.000000,262.736244,3.075871
3141.000000,264.435326,3.401875
3159.000000,268.832949,3.303492
3177.000000,275.279464,3.489304
3195.000000,280.776492,3.258567
3213.000000,283.075250,3.485584
3231.000000,281.875898,3.485584
3249.000000,279.327276,3.485584
3267.000000,277.928032,3.485584
3285.000000,277.728140,3.485584
3303.000000,277.828086,3.485584
3321.000000,277.928032,3.485584
3339.000000,277.828086,3.485584
3357.000000,277.428302,3.485584
3375.000000,276.828627,3.485584
3393.000000,276.278924,3.485584
3411.000000,276.578762,3.485584
3429.000000,278.377789,3.485584
3447.000000,278.977465,3.485584
3465.000000,279.027438,3.485584
3483.000000,280.326735,3.485584
3501.000000,281.476114,3.485584
3519.000000,282.575520,3.485584
3537.000000,284.024736,3.485584
3555.000000,286.023656,3.485584
3573.000000,288.222467,3.485584
3591.000000,290.221387,3.485584
3609.000000,291.420738,3.485584
3627.000000,291.870495,3.485584
3645.000000,291.920468,3.485584
3663.000000,290.921008,3.485584
3681.000000,289.671684,3.485584
3699.000000,289.721657,3.485584
3717.000000,291.270819,3.485584
3735.000000,293.869415,3.485584
3753.000000,296.867794,3.485584
3771.000000,299.566335,3.485584
3789.000000,301.065525,3.485584
3807.000000,301.715173,3.485584
3825.000000,302.164930,3.485584
3843.000000,302.214903,3.485584
3861.000000,301.915065,3.485584
3879.000000,301.415335,3.485584
3897.000000,300.465849,3.485584
3915.000000,298.766767,3.485584
3933.000000,296.567956,3.485584
3951.000000,294.469090,3.485584
3969.000000,292.670063,3.485584
3987.000000,290.921008,3.485584
4005.000000,289.521765,3.485584
4023.000000,289.271900,3.485584
4041.000000,291.220846,3.485584
4059.000000,294.069307,3.485584
4077.000000,296.018253,3.485584
4095.000000,298.816740,3.485584
4113.000000,302.864552,3.485584
4131.000000,305.762985,3.485584
4149.000000,308.161688,3.485584
4167.000000,312.659257,3.485584
4185.000000,316.856988,3.485584
4203.000000,318.606043,3.485584
4221.000000,319.455583,3.485584
4239.000000,320.554989,3.485584
4257.000000,321.904260,3.485584
4275.000000,322.703827,3.485584
4293.000000,322.254071,3.485584
4311.000000,320.954773,3.485584
4329.000000,321.154665,3.485584
4347.000000,323.203557,3.485584
4365.000000,324.852666,3.485584
4383.000000,326.201936,3.485584
4401.000000,328.100910,3.485584
4419.000000,330.049856,3.485584
4437.000000,330.099829,3.510308
4455.000000,327.551207,3.594077
4473.000000,324.952612,3.770685
4491.000000,325.302423,3.850973
4509.000000,330.099829,3.841604
4527.000000,334.347533,3.885172
4545.000000,335.396966,3.976821
4563.000000,335.996642,3.915238
4581.000000,336.646291,3.928418
4599.000000,337.295939,3.928418
9.000000,231.284008,4.625859
27.000000,235.527027,4.625859
45.000000,239.770047,4.625859
63.000000,243.963148,4.625859
81.000000,247.157893,4.625859
99.000000,250.053130,4.625859
117.000000,253.297791,4.625859
135.000000,255.843603,4.625859
153.000000,257.490893,4.625859
171.000000,257.341139,4.625859
189.000000,254.745410,4.625859
207.000000,252.499106,4.625859
225.000000,255.993357,4.625859
243.000000,262.482681,4.625859
261.000000,268.472826,4.625859
279.000000,274.263300,4.625859
297.000000,278.106976,4.625859
315.000000,279.654430,4.625859
333.000000,278.705990,4.625859
351.000000,276.060343,4.625859
369.000000,274.113546,4.625859
387.000000,274.462971,4.625859
405.000000,276.160179,4.625859
423.000000,282.000571,4.625859
441.000000,288.989074,4.625859
459.000000,292.782832,4.625859
477.000000,295.777905,4.625859
495.000000,297.275441,4.625859
513.000000,296.776262,4.625859
531.000000,295.079054,4.625859
549.000000,292.932586,4.625859
567.000000,290.336856,4.625859
585.000000,287.291865,4.625859
603.000000,283.548025,4.625859
621.000000,279.554595,4.625859
639.000000,276.110261,4.625859
657.000000,272.915517,4.625859
675.000000,269.421266,4.625859
693.000000,265.577589,4.625859
711.000000,262.083337,4.625859
729.000000,258.988429,4.625859
747.000000,255.544096,4.625859
765.000000,250.901733,4.625859
783.000000,245.161177,4.625859
801.000000,240.468897,4.625859
819.000000,239.071196,4.625859
837.000000,239.919800,4.625859
855.000000,241.217665,4.625859
873.000000,242.565448,4.625859
891.000000,243.314216,4.625859
909.000000,243.414052,4.625859
927.000000,242.815037,4.625859
945.000000,241.167747,4.625859
963.000000,238.771689,4.625859
981.000000,237.423906,4.625859
999.000000,237.174317,4.625859
1017.000000,236.774974,4.625859
1035.000000,236.475467,4.625859
1053.000000,236.375631,4.625859
1071.000000,236.924728,4.625859
1089.000000,238.621936,4.625859
1107.000000,241.017994,4.625859
1125.000000,242.166105,4.625859
1143.000000,242.515530,4.625859
1161.000000,243.314216,4.625859
1179.000000,244.612081,4.625859
1197.000000,245.860028,4.625859
1215.000000,246.009781,4.625859
1233.000000,246.508960,4.625859
1251.000000,248.056414,4.625859
1269.000000,249.104690,4.625859
1287.000000,251.251158,4.625859
1305.000000,254.845246,4.625859
1323.000000,256.941796,4.625859
1341.000000,257.590729,4.625859
1359.000000,258.589087,4.625859
1377.000000,260.086623,4.625859
1395.000000,260.985144,4.625859
1413.000000,261.284652,4.625859
1431.000000,260.535883,4.625859
1449.000000,257.940154,4.625859
1467.000000,256.093192,4.625859
1485.000000,256.143111,4.625859
1503.000000,255.294506,4.625859
1521.000000,254.395984,4.625859
1539.000000,253.946724,4.625859
1557.000000,252.748695,4.625859
1575.000000,250.751980,4.625859
1593.000000,247.706989,4.625859
1611.000000,244.362492,4.625859
1629.000000,241.716844,4.625859
1647.000000,240.418979,4.625859
1665.000000,239.969718,4.625859
1683.000000,239.670211,4.625859
1701.000000,239.570375,4.625859
1719.000000,239.470539,4.625859
1737.000000,239.320786,4.600325
1755.000000,239.220950,4.639340
1773.000000,239.220950,4.711464
1791.000000,239.770046,4.744261
1809.000000,241.317500,4.624587
1827.000000,243.863313,4.524839
1845.000000,246.508960,4.447336
1863.000000,248.805182,4.332623
1881.000000,251.251159,4.241072
1899.000000,253.647217,4.058308
1917.000000,255.544095,3.995302
1935.000000,256.891878,3.777662
1953.000000,257.790400,3.798769
1971.000000,258.489250,3.823586
1989.000000,259.088265,3.949689
2007.000000,259.587444,3.894901
2025.000000,260.236376,3.894901
2043.000000,261.484323,3.894901
2061.000000,262.732270,3.894901
2079.000000,263.081695,3.894901
2097.000000,262.233091,3.894901
2115.000000,260.885309,3.894901
2133.000000,260.585802,3.894901
2151.000000,260.685637,3.894901
2169.000000,258.489250,3.894901
2187.000000,253.747052,3.894901
2205.000000,250.202883,3.894901
2223.000000,249.354279,3.894901
2241.000000,249.903376,3.894901
2259.000000,249.903376,3.894901
2277.000000,249.004854,3.894901
2295.000000,249.254444,3.894901
2313.000000,249.753622,3.894901
2331.000000,247.557235,3.894901
2349.000000,243.513888,3.894901
2367.000000,241.966433,3.852217
2385.000000,242.565448,3.727088
2403.000000,243.863313,3.627883
2421.000000,246.908303,3.609575
2439.000000,248.755265,3.409893
2457.000000,247.657071,3.261133
2475.000000,246.209453,3.268701
2493.000000,245.810109,3.228664
2511.000000,245.909945,3.217972
2529.000000,246.109617,3.217972
2547.000000,246.359206,3.217972
2565.000000,246.708631,3.217972
2583.000000,247.058057,3.217972
2601.000000,247.407482,3.217972
2619.000000,247.756907,3.280097
2637.000000,248.106332,3.409923
2655.000000,248.605511,3.318017
2673.000000,249.004854,3.249919
2691.000000,249.204525,3.405278
2709.000000,249.404197,3.784485
2727.000000,250.103047,3.913145
2745.000000,250.402554,3.962895
2763.000000,250.302719,4.344991
2781.000000,250.652144,4.480786
2799.000000,251.151323,4.709713
2817.000000,251.650502,4.694734
2835.000000,252.199598,4.702641
2853.000000,252.998284,4.796132
2871.000000,253.697135,4.604013
2889.000000,254.146395,4.500609
2907.000000,254.445902,4.249888
2925.000000,254.545738,4.078482
2943.000000,254.745409,3.751425
2961.000000,255.294506,3.329440
2979.000000,255.943439,3.250938
2997.000000,256.592371,3.181311
3015.000000,257.341139,2.641452
3033.000000,257.840318,2.316969
3051.000000,257.890236,2.508780
3069.000000,257.990071,2.651094
3087.000000,258.139825,2.583270
3105.000000,258.439332,2.783562
3123.000000,259.138183,3.220157
3141.000000,260.835391,3.378927
3159.000000,265.228164,3.175367
3177.000000,271.667570,3.389583
3195.000000,277.158537,3.251605
3213.000000,279.454759,3.485584
3231.000000,278.256730,3.485584
3249.000000,275.710918,3.485584
3267.000000,274.313218,3.485584
3285.000000,274.113546,3.485584
3303.000000,274.213382,3.485584
3321.000000,274.313218,3.485584
3339.000000,274.213382,3.485584
3357.000000,273.814039,3.485584
3375.000000,273.215024,3.485584
3393.000000,272.665928,3.485584
3411.000000,272.965435,3.485584
3429.000000,274.762478,3.485584
3447.000000,275.361493,3.485584
3465.000000,275.411411,3.485584
3483.000000,276.709275,3.485584
3501.000000,277.857387,3.485584
3519.000000,278.955580,3.485584
3537.000000,280.403198,3.485584
3555.000000,282.399914,3.485584
3573.000000,284.596300,3.485584
3591.000000,286.593015,3.485584
3609.000000,287.791044,3.485584
3627.000000,288.240305,3.485584
3645.000000,288.290223,3.485584
3663.000000,287.291865,3.485584
3681.000000,286.043919,3.485584
3699.000000,286.093837,3.485584
3717.000000,287.641291,3.485584
3735.000000,290.237020,3.485584
3753.000000,293.232093,3.485584
3771.000000,295.927659,3.485584
3789.000000,297.425194,3.485584
3807.000000,298.074127,3.485584
3825.000000,298.523388,3.485584
3843.000000,298.573306,3.485584
3861.000000,298.273798,3.485584
3879.000000,297.774620,3.485584
